id;author_id;title;slug;excerpt;body;original_link;image;created_at;updated_at;published_at;category_id;views;deleted_at;keywords;recommended;meta_id
677081;22;"Prasata zvládnou hrát jednoduché počítačové hry, nepotřebují ani odměnu";prasata-zvladnou-hrat-jednoduche-pocitacove-hry-nepotrebuji-ani-odmenu;"Američtí vědci naučili čtyři prasátka ovládat joystickem jednoduchou videohru. Zkoumali, jakým způsobem probíhá u těchto zvířat proces učení a nakolik dokážou abstraktně přemýšlet. Dobrou zprávou je, že se ani jedno z prasat po pravidelném hraní nestalo závislé ani agresivní.";"Američtí vědci naučili čtyři prasátka ovládat joystickem jednoduchou videohru. Zkoumali, jakým způsobem probíhá u těchto zvířat proces učení a nakolik dokážou abstraktně přemýšlet. Dobrou zprávou je, že se ani jedno z prasat po pravidelném hraní nestalo závislé ani agresivní.<p><a href='https://www.idnes.cz/hry/novinky/prasata-videohry-vedci-hry.A210219_092045_bw-novinky_srp#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/hry/novinky/prasata-videohry-vedci-hry.A210219_092045_bw-novinky_srp#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main;default.jpg;"2021-02-21 12:10:44";"2021-02-21 12:10:44";"2021-02-21 12:10:44";15;0;NULL;"jakým způsobem probíhá probíhá u těchto zvířat proces naučili dobrou zprávou vědci zkoumali zkoumali jedno videohru prasat američtí";"[{"slug": "do-game-passu-miri-elite-dangerous-dirt-5-a-dalsi-hry", "coefficient": 0.3847512577515962}, {"slug": "update-hry-the-last-campfire-prinasi-spoustu-novych-hadanek", "coefficient": 0.38198508338288417}, {"slug": "do-baldur-s-gate-3-pribude-moznost-hrat-za-druida", "coefficient": 0.3819711794528215}, {"slug": "square-enix-ukaze-18-brezna-novy-life-is-strange-a-dalsi-hry", "coefficient": 0.38106662197173136}, {"slug": "devolver-oznamil-arkadu-death-s-door-budeme-hrat-za-vranu", "coefficient": 0.37898948026405993}, {"slug": "imperator-rome-dostal-mohutny-pridavek", "coefficient": 0.3535533905932738}, {"slug": "stahnete-si-zdarma-povedenou-logickou-hru-the-fall", "coefficient": 0.3535533905932738}, {"slug": "forzu-horizon-4-rozsiril-hot-wheels-legends-car-pack", "coefficient": 0.3535533905932738}, {"slug": "resident-evil-village-vyjde-v-japonsku-bez-scen-se-setnutim-hlavy", "coefficient": 0.3535533905932738}, {"slug": "podivejte-se-jak-se-hraje-moba-pokemon-unite", "coefficient": 0.3535533905932738}]";NULL
677091;22;"Blizzard oživuje legendární Diablo II, Burning Crusade i retro klasiky";blizzard-ozivuje-legendarni-diablo-ii-burning-crusade-i-retro-klasiky;"Zahajovací ceremonie BlizzConline 2021, což je online náhrada za akci BlizzCon, se nesla v těžce nostalgickém duchu. Studio v únoru oslavilo třicetileté výročí a oživilo několik starších her.";"Zahajovací ceremonie BlizzConline 2021, což je online náhrada za akci BlizzCon, se nesla v těžce nostalgickém duchu. Studio v únoru oslavilo třicetileté výročí a oživilo několik starších her.<p><a href='https://www.idnes.cz/hry/novinky/blizzconline-2021-diablo-2-ii.A210219_235856_bw-novinky_oz#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/hry/novinky/blizzconline-2021-diablo-2-ii.A210219_235856_bw-novinky_oz#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main;default.jpg;"2021-02-21 12:10:44";"2021-02-21 12:10:44";"2021-02-21 12:10:44";15;0;NULL;"těžce nostalgickém duchu v nesla online náhrada několik blizzcon akci blizzcon třicetileté což nesla ceremonie blizzconline blizzconline studio zahajovací";"[{"slug": "v-patek-zacne-technicka-alfa-diablo-ii-resurrected-je-na-pozvanku", "coefficient": 0.4314288057025972}, {"slug": "activision-blizzard-propustil-padesat-zamestnancu", "coefficient": 0.40532584272323485}, {"slug": "diablo-2-resurrected-nebude-podporovat-vsechny-mody", "coefficient": 0.4034181419817403}, {"slug": "blizzard-radi-streamovat-rock-n-roll-racing-s-vypnutou-hudbou", "coefficient": 0.39241240604042266}, {"slug": "soundtracky-z-bravely-default-i-ii-jsou-k-poslechu-na-spotify", "coefficient": 0.3920715813107112}, {"slug": "startuje-nova-expanze-hearthstone-forged-in-the-barrens", "coefficient": 0.35355339059327384}, {"slug": "pristi-lego-star-wars-hra-se-odklada-na-neurcito", "coefficient": 0.35355339059327384}, {"slug": "stahnete-si-zdarma-povedenou-logickou-hru-the-fall", "coefficient": 0.35355339059327384}, {"slug": "do-game-passu-miri-elite-dangerous-dirt-5-a-dalsi-hry", "coefficient": 0.35355339059327384}, {"slug": "blizi-se-otevrena-beta-mmo-valecne-strilecky-enlisted", "coefficient": 0.35355339059327384}]";NULL
677101;22;"Ratchet & Clank: Rift Apart bude mít české titulky";ratchet-clank-rift-apart-bude-mit-ceske-titulky;;"<p><a href='https://www.idnes.cz/hry/kratke-zpravy/ratchet-clank-rift-apart-bude-mit-ceske-titulky.A210219_183347_bw-kratke-zpravy_oz#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/hry/kratke-zpravy/ratchet-clank-rift-apart-bude-mit-ceske-titulky.A210219_183347_bw-kratke-zpravy_oz#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main;default.jpg;"2021-02-21 12:10:44";"2021-02-21 12:10:44";"2021-02-21 12:10:44";15;0;NULL;;"[{"slug": "ratchet-clank-z-roku-2016-pobezi-na-playstationu-5-v-60-fps", "coefficient": 0.6409979785460042}, {"slug": "subnautica-below-zero-vyjde-s-ceskymi-titulky", "coefficient": 0.5831746105640018}, {"slug": "ve-stredu-pobezi-nintendo-direct-bude-mit-padesat-minut", "coefficient": 0.5610927828573983}, {"slug": "frozenheim-bude-budovatelskou-strategii-z-prostredi-vikingu", "coefficient": 0.5238148517697732}, {"slug": "netflix-bude-vysilat-ve-spojenych-statech-filmy-od-sony-pictures", "coefficient": 0.5199496090683395}, {"slug": "blizi-se-otevrena-beta-mmo-valecne-strilecky-enlisted", "coefficient": 0.5}, {"slug": "podivejte-se-jak-se-hraje-moba-pokemon-unite", "coefficient": 0.5}, {"slug": "takto-vypada-battle-royale-apex-legends-na-switchi", "coefficient": 0.5}, {"slug": "rodinu-konzoli-switch-lite-rozsiri-modry-model", "coefficient": 0.5}, {"slug": "forzu-horizon-4-rozsiril-hot-wheels-legends-car-pack", "coefficient": 0.5}]";NULL
677111;22;"Paradox odhalil předplatné pro strategii Crusader Kings 2";paradox-odhalil-predplatne-pro-strategii-crusader-kings-2;;"<p><a href='https://www.idnes.cz/hry/kratke-zpravy/paradox-odhalil-predplatne-pro-strategii-crusader-kings-2.A210219_132018_bw-kratke-zpravy_oz#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/hry/kratke-zpravy/paradox-odhalil-predplatne-pro-strategii-crusader-kings-2.A210219_132018_bw-kratke-zpravy_oz#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main;default.jpg;"2021-02-21 12:10:44";"2021-02-21 12:10:44";"2021-02-21 12:10:44";15;0;NULL;;"[{"slug": "v-dubnu-se-konecne-dozvime-vic-o-strategii-age-of-empires-iv", "coefficient": 0.5549061916610223}, {"slug": "fortnite-dostane-i-obsah-pro-jednoho-hrace", "coefficient": 0.5222825015236614}, {"slug": "amnesia-dostala-jednodussi-obtiznost-pro-straspytly", "coefficient": 0.5197642190035435}, {"slug": "toto-je-novy-core-set-pro-karticky-hearthstone", "coefficient": 0.5192515293085259}, {"slug": "next-gen-update-pro-wreckfest-nebude-zadarmo", "coefficient": 0.5192487154791784}, {"slug": "vysel-novy-obsah-pro-klasicke-mmorpg-guild-wars-2", "coefficient": 0.5177410572482748}, {"slug": "ve-stredu-vychazi-systemovy-patch-9-0-5-pro-world-of-warcraft", "coefficient": 0.5175119023537872}, {"slug": "sam-max-pro-vr-vyjde-na-oculus-quest-v-cervnu", "coefficient": 0.5168307615212298}, {"slug": "pac-man-99-je-novy-battle-royale-pro-predplatitele-switch-online", "coefficient": 0.5157525438386737}, {"slug": "v-breznu-si-zastrilime-na-marsu-v-doom-3-vr-edition-pro-ps-vr", "coefficient": 0.5142478336116378}]";NULL
677121;22;"Call of Duty představuje obsah druhé sezony";call-of-duty-predstavuje-obsah-druhe-sezony;;"<p><a href='https://www.idnes.cz/hry/kratke-zpravy/call-of-duty-druha-sezona.A210219_121204_bw-kratke-zpravy_srp#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/hry/kratke-zpravy/call-of-duty-druha-sezona.A210219_121204_bw-kratke-zpravy_srp#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main;default.jpg;"2021-02-21 12:10:45";"2021-02-21 12:10:45";"2021-02-21 12:10:45";15;0;NULL;;"[{"slug": "septanda-letosni-call-of-duty-se-vrati-do-2-svetove-valky", "coefficient": 0.7041533629778276}, {"slug": "call-of-duty-mobile-prichazi-s-novou-sezonou-a-operatorem-zdarma", "coefficient": 0.6940783178903018}, {"slug": "fortnite-dostane-i-obsah-pro-jednoho-hrace", "coefficient": 0.583966132138885}, {"slug": "hood-outlaws-legends-predstavuje-ve-videu-povolani-lovce", "coefficient": 0.5682592499461498}, {"slug": "vysel-novy-obsah-pro-klasicke-mmorpg-guild-wars-2", "coefficient": 0.5668528152285923}, {"slug": "do-world-of-tanks-miri-moderni-technika", "coefficient": 0.5599647760703657}, {"slug": "do-world-of-tanks-zamiri-superhrdina-g-i-joe", "coefficient": 0.5552678272745755}, {"slug": "the-legend-of-zelda-slavi-35-vyroci", "coefficient": 0.554550047110487}, {"slug": "ve-stredu-vychazi-systemovy-patch-9-0-5-pro-world-of-warcraft", "coefficient": 0.5510500424007334}, {"slug": "druhy-trailer-z-diablovky-path-of-exile-2-vypada-paradne", "coefficient": 0.5493128408999521}]";NULL
677131;22;"Remasterují se čím dál divnější hry, přišel čas i na prdící zombie";remasteruji-se-cim-dal-divnejsi-hry-prisel-cas-i-na-prdici-zombie;"Vydavatelství Aspyr oznámilo, že brzy vydá vylepšenou verzi pozapomenuté akce Stubbs the Zombie: Rebel Without a Pulse z roku 2005. V ní si můžeme vyzkoušet válku s nemrtvými z druhé strany a pokusit se vyhladit lidstvo.";"Vydavatelství Aspyr oznámilo, že brzy vydá vylepšenou verzi pozapomenuté akce Stubbs the Zombie: Rebel Without a Pulse z roku 2005. V ní si můžeme vyzkoušet válku s nemrtvými z druhé strany a pokusit se vyhladit lidstvo.<p><a href='https://www.idnes.cz/hry/novinky/stubbs-the-zombie-remaster-hry.A210219_103555_bw-novinky_srp#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/hry/novinky/stubbs-the-zombie-remaster-hry.A210219_103555_bw-novinky_srp#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main;default.jpg;"2021-02-21 12:10:45";"2021-02-21 12:10:45";"2021-02-21 12:10:45";15;0;NULL;"vydavatelství aspyr oznámilo vydá vylepšenou verzi pozapomenuté akce rebel můžeme vyzkoušet válku zombie rebel without brzy druhé strany oznámilo vyhladit lidstvo vydavatelství";"[{"slug": "do-game-passu-miri-elite-dangerous-dirt-5-a-dalsi-hry", "coefficient": 0.38471804097085904}, {"slug": "update-hry-the-last-campfire-prinasi-spoustu-novych-hadanek", "coefficient": 0.38195481178448987}, {"slug": "square-enix-ukaze-18-brezna-novy-life-is-strange-a-dalsi-hry", "coefficient": 0.3810373282713182}, {"slug": "vykaslat-se-na-cyberpunk-2077-neni-na-poradu-dne-rika-kicinski", "coefficient": 0.36655030603389144}, {"slug": "netradicni-akce-deathloop-se-odklada-na-zari", "coefficient": 0.3648435373097398}, {"slug": "podivejte-se-jak-se-hraje-moba-pokemon-unite", "coefficient": 0.3644081992974595}, {"slug": "podivejte-se-na-devet-minut-z-hrani-akce-deathloop", "coefficient": 0.36423780220946345}, {"slug": "podivejte-se-na-video-o-pozadi-vzniku-adventury-encodya", "coefficient": 0.3635738475060113}, {"slug": "pristi-lego-star-wars-hra-se-odklada-na-neurcito", "coefficient": 0.3629140380324809}, {"slug": "remake-destroy-all-humans-se-podiva-v-cervnu-na-switch", "coefficient": 0.36214499010432705}]";NULL
677141;22;"Mortal Kombat představil krvavý trailer. Vypadá to na pořádný masakr";mortal-kombat-predstavil-krvavy-trailer-vypada-to-na-poradny-masakr;"Po dlouhém čekání jsme se dočkali první ukázky z chystané filmové adaptace brutální mlátičky Mortal Kombat. Zatím to vypadá, že jeho autoři pochopili podstatu značky a fanouškům série nabídnou notně krvavou podívanou.";"Po dlouhém čekání jsme se dočkali první ukázky z chystané filmové adaptace brutální mlátičky Mortal Kombat. Zatím to vypadá, že jeho autoři pochopili podstatu značky a fanouškům série nabídnou notně krvavou podívanou.<p><a href='https://www.idnes.cz/hry/novinky/mortal-kombat-film-trailer-hry.A210219_080923_bw-novinky_srp#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/hry/novinky/mortal-kombat-film-trailer-hry.A210219_080923_bw-novinky_srp#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main;default.jpg;"2021-02-21 12:10:45";"2021-02-21 12:10:45";"2021-02-21 12:10:45";15;0;NULL;"dlouhém čekání čekání dočkali první ukázky z první dočkali dočkali ukázky čekání zatím kombat vypadá dlouhém";"[{"slug": "premiera-filmu-mortal-kombat-se-posouva-o-tyden", "coefficient": 0.4567424225772294}, {"slug": "druhy-trailer-z-diablovky-path-of-exile-2-vypada-paradne", "coefficient": 0.42803135318246066}, {"slug": "ps5-exkluzivita-returnal-ma-novy-trailer", "coefficient": 0.4043850922379314}, {"slug": "podivejte-se-na-novy-trailer-z-kooperativni-akce-it-takes-two", "coefficient": 0.40004486303582654}, {"slug": "soulsovka-mortal-shell-dostane-next-gen-update", "coefficient": 0.3993784692799951}, {"slug": "takto-vypada-battle-royale-apex-legends-na-switchi", "coefficient": 0.3932127917570529}, {"slug": "prvni-gameplay-ze-zavodu-hot-wheels-unleashed-vypada-slibne", "coefficient": 0.38544464981246607}, {"slug": "brzy-vychazi-mobilni-the-walking-dead-survivors-vypada-hrozne", "coefficient": 0.38522306462806166}, {"slug": "netradicni-akce-deathloop-se-odklada-na-zari", "coefficient": 0.35909698597985207}, {"slug": "vykaslat-se-na-cyberpunk-2077-neni-na-poradu-dne-rika-kicinski", "coefficient": 0.36214255505531107}]";NULL
677151;22;"Majitelé Hitmana 3 si mohou importovat první dva díly ze Steamu";majitele-hitmana-3-si-mohou-importovat-prvni-dva-dily-ze-steamu;;"<p><a href='https://www.idnes.cz/hry/kratke-zpravy/majitele-hitmana-3-si-mohou-importovat-prvni-dva-dily-ze-steamu.A210219_074207_bw-kratke-zpravy_srp#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/hry/kratke-zpravy/majitele-hitmana-3-si-mohou-importovat-prvni-dva-dily-ze-steamu.A210219_074207_bw-kratke-zpravy_srp#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main;default.jpg;"2021-02-21 12:10:45";"2021-02-21 12:10:45";"2021-02-21 12:10:45";15;0;NULL;;"[{"slug": "epic-koupil-tvurce-hitu-fall-guys-hra-na-steamu-zustane", "coefficient": 0.5642234716431083}, {"slug": "majitele-ps4-verze-sinking-city-nedostanou-ps5-upgrade-zdarma", "coefficient": 0.5607980195381058}, {"slug": "prvni-gameplay-ze-zavodu-hot-wheels-unleashed-vypada-slibne", "coefficient": 0.5468007221218296}, {"slug": "do-rainbow-six-siege-miri-prvni-gay-postava", "coefficient": 0.5242933764824809}, {"slug": "prvni-kapitola-tell-me-why-je-zdarma-zbytek-ve-sleve", "coefficient": 0.5225058950027186}, {"slug": "nezapomente-si-vyzvednout-zdarma-rpg-sunless-sea", "coefficient": 0.5156404253518422}, {"slug": "stahnete-si-zdarma-povedenou-logickou-hru-the-fall", "coefficient": 0.5154775606721581}, {"slug": "stahnete-si-demo-fandovske-akce-metroid-prime-2d", "coefficient": 0.5143652952885444}, {"slug": "v-breznu-si-zastrilime-na-marsu-v-doom-3-vr-edition-pro-ps-vr", "coefficient": 0.5122716786111188}, {"slug": "resident-evil-village-vyjde-v-japonsku-bez-scen-se-setnutim-hlavy", "coefficient": 0.5000000000000001}]";NULL
677161;22;"RECENZE: Kyberpunková Encodya by byla příliš retro i před dvaceti lety";recenze-kyberpunkova-encodya-by-byla-prilis-retro-i-pred-dvaceti-lety;"Encodya naplno ukazuje, proč už jsou dnes point & click adventury prakticky mrtvým žánrem. Úplný průšvih to sice není, přesto hru nelze doporučit nikomu jinému než ortodoxním nostalgikům.";"Encodya naplno ukazuje, proč už jsou dnes point & click adventury prakticky mrtvým žánrem. Úplný průšvih to sice není, přesto hru nelze doporučit nikomu jinému než ortodoxním nostalgikům.<p><a href='https://www.idnes.cz/hry/recenze/encodya-recenze-hry.A210217_135818_bw-pc-recenze_srp#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/hry/recenze/encodya-recenze-hry.A210217_135818_bw-pc-recenze_srp#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main;default.jpg;"2021-02-21 12:10:45";"2021-02-21 12:10:45";"2021-02-21 12:10:45";15;0;NULL;"encodya naplno ukazuje naplno click úplný průšvih jinému ortodoxním point ortodoxním nostalgikům ukazuje dnes dnes point ukazuje encodya";"[{"slug": "podivejte-se-na-video-o-pozadi-vzniku-adventury-encodya", "coefficient": 0.4140382499708342}, {"slug": "presne-pred-ctyrmi-lety-se-zacal-prodavat-switch", "coefficient": 0.4034035627009672}, {"slug": "zakazany-horor-devotion-uz-jde-konecne-zase-legalne-koupit", "coefficient": 0.3535533905932738}, {"slug": "resident-evil-village-vyjde-v-japonsku-bez-scen-se-setnutim-hlavy", "coefficient": 0.3535533905932738}, {"slug": "forzu-horizon-4-rozsiril-hot-wheels-legends-car-pack", "coefficient": 0.3535533905932738}, {"slug": "imperator-rome-dostal-mohutny-pridavek", "coefficient": 0.3535533905932738}, {"slug": "do-game-passu-miri-elite-dangerous-dirt-5-a-dalsi-hry", "coefficient": 0.3535533905932738}, {"slug": "podivejte-se-jak-se-hraje-moba-pokemon-unite", "coefficient": 0.3535533905932738}, {"slug": "vykaslat-se-na-cyberpunk-2077-neni-na-poradu-dne-rika-kicinski", "coefficient": 0.3535533905932738}, {"slug": "pristi-lego-star-wars-hra-se-odklada-na-neurcito", "coefficient": 0.3535533905932738}]";NULL
677171;22;"Blizzard omylem odhalil World of Warcraft: Burning Crusade Classic";blizzard-omylem-odhalil-world-of-warcraft-burning-crusade-classic;"Blizzard omylem zveřejnil PR kit, který obsahoval nejenom informace o nadcházejícím obsahovém patchi pro World of Warcraft: Shadowlands, ale potvrdil i existenci Burning Crusade Classic.";"Blizzard omylem zveřejnil PR kit, který obsahoval nejenom informace o nadcházejícím obsahovém patchi pro World of Warcraft: Shadowlands, ale potvrdil i existenci Burning Crusade Classic.<p><a href='https://www.idnes.cz/hry/novinky/world-of-warcraft-burning-crusade-classic-leak.A210218_170220_bw-novinky_oz#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/hry/novinky/world-of-warcraft-burning-crusade-classic-leak.A210218_170220_bw-novinky_oz#utm_source=rss&utm_medium=feed&utm_campaign=bonusweb&utm_content=main;default.jpg;"2021-02-21 12:10:46";"2021-02-21 12:10:46";"2021-02-21 12:10:46";15;0;NULL;"obsahoval nejenom informace zveřejnil pr warcraft nadcházejícím obsahovém patchi kit obsahoval nejenom obsahoval world of warcraft kit shadowlands blizzard potvrdil shadowlands";"[{"slug": "ve-stredu-vychazi-systemovy-patch-9-0-5-pro-world-of-warcraft", "coefficient": 0.4665250521771737}, {"slug": "world-of-warcraft-privital-dalsiho-mounta-zvoleneho-komunitou", "coefficient": 0.45873689051984856}, {"slug": "do-world-of-tanks-miri-moderni-technika", "coefficient": 0.4317561767106288}, {"slug": "do-world-of-tanks-zamiri-superhrdina-g-i-joe", "coefficient": 0.42563067260384574}, {"slug": "activision-blizzard-propustil-padesat-zamestnancu", "coefficient": 0.4063502011531653}, {"slug": "paradox-odhalil-predplatne-pro-strategii-crusader-kings-2", "coefficient": 0.3954103422478873}, {"slug": "blizzard-radi-streamovat-rock-n-roll-racing-s-vypnutou-hudbou", "coefficient": 0.3931812620326434}, {"slug": "call-of-duty-predstavuje-obsah-druhe-sezony", "coefficient": 0.38587365106970345}, {"slug": "the-legend-of-zelda-slavi-35-vyroci", "coefficient": 0.384103224677959}, {"slug": "septanda-letosni-call-of-duty-se-vrati-do-2-svetove-valky", "coefficient": 0.3815907944120956}]";NULL
