id;author_id;title;slug;excerpt;body;original_link;image;created_at;updated_at;published_at;category_id;views;deleted_at;keywords;recommended;meta_id
667651;22;"Odpůrci opatření se sešli na Újezdě, Chcípl PES pořádal valentýnský pochod";odpurci-opatreni-se-sesli-na-ujezde-chcipl-pes-poradal-valentynsky-pochod;"Iniciativa Chcípl PES pořádala v neděli odpoledne valentýnský pochod za návrat dětí do škol a otevření provozoven. Ohlášená akce se konala od 16. hodiny na pražském Újezdě, odkud se účastníci vydali k petřínské stanici lanovky. Další pochody byly naplánované po celé republice.";"Iniciativa Chcípl PES pořádala v neděli odpoledne valentýnský pochod za návrat dětí do škol a otevření provozoven. Ohlášená akce se konala od 16. hodiny na pražském Újezdě, odkud se účastníci vydali k petřínské stanici lanovky. Další pochody byly naplánované po celé republice.<p><a href='https://www.idnes.cz/praha/zpravy/chcipl-pes-valentynsky-pochod-petrin.A210214_131056_praha-zpravy_bse#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/praha/zpravy/chcipl-pes-valentynsky-pochod-petrin.A210214_131056_praha-zpravy_bse#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main;default.jpg;"2021-02-14 19:00:43";"2021-02-14 19:00:43";"2021-02-14 19:00:43";16;0;NULL;"petřínské stanici lanovky dětí pořádala pochody byly naplánované celé pes návrat dětí provozoven chcípl otevření provozoven chcípl pes provozoven ohlášená akce iniciativa";"[{"slug": "pes-bez-voditka-pokousal-srnu-policii-a-myslivce-privolal-svedek", "coefficient": 0.31264315430363815}, {"slug": "pochod-praha-prcice-bude-o-mesic-pozdeji-covid-zmeni-jeho-podobu", "coefficient": 0.31260479239718725}, {"slug": "co-delat-kdyz-spadne-lavina-reporter-zazil-vyprostovani-ze-snehoveho-zavalu", "coefficient": 0.31084852964234067}, {"slug": "panelakovy-byt-s-hlinenymi-omitkami-s-levanduli-nadchne-cistotou", "coefficient": 0.2752262227926878}, {"slug": "na-nymbursku-narazilo-auto-do-stromu-na-misto-byl-privolan-vrtulnik", "coefficient": 0.2728987325113005}, {"slug": "pes-nema-sluchovou-ale-vizualni-pamet-naucte-se-jeho-rec-tela", "coefficient": 0.27264109900790934}, {"slug": "v-sobotu-vecer-na-hodinu-zhasnete-ochrana-klimatu-je-tema-i-za-pandemie", "coefficient": 0.27235010679866073}, {"slug": "mladik-bloudil-ve-stanici-metra-cerny-most-cestu-si-zkratil-pres-koleje", "coefficient": 0.2720894168852093}, {"slug": "blesi-trh-ve-vysocanech-je-otevreny-i-pres-zakaz-provozovateli-hrozi-sankce", "coefficient": 0.26509166781370486}, {"slug": "z-vagonu-metra-museli-pubescentovi-pomahat-nadychal-35-promile", "coefficient": 0.26865320969430084}]";NULL
667751;22;"OBRAZEM: V zavřené Květné zahradě vykvetly kamélie, některé jsou stoleté";obrazem-v-zavrene-kvetne-zahrade-vykvetly-kamelie-nektere-jsou-stolete;"Už od konce listopadu nasazovaly první poupata, aby nyní vykvetly v plné kráse. Kamélie v Květné zahradě mají i letos stovky květů, které přecházejí od bílé, přes růžovou až po sytě červenou barvu. Lidé je ale tentokrát obdivovat nemohou, zahrada je kvůli bezpečnostním opatřením proti šíření koronaviru uzavřená.";"Už od konce listopadu nasazovaly první poupata, aby nyní vykvetly v plné kráse. Kamélie v Květné zahradě mají i letos stovky květů, které přecházejí od bílé, přes růžovou až po sytě červenou barvu. Lidé je ale tentokrát obdivovat nemohou, zahrada je kvůli bezpečnostním opatřením proti šíření koronaviru uzavřená.<p><a href='https://www.idnes.cz/zlin/zpravy/zlinsky-kraj-kromeriz-kvetna-zahrada-kamelie.A210212_143701_zlin-zpravy_ppr/foto#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/zlin/zpravy/zlinsky-kraj-kromeriz-kvetna-zahrada-kamelie.A210212_143701_zlin-zpravy_ppr/foto#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main;default.jpg;"2021-02-14 19:00:45";"2021-02-14 19:00:45";"2021-02-14 19:00:45";16;0;NULL;"konce listopadu nasazovaly v listopadu květné zahradě mají stovky kráse letos stovky květů koronaviru aby sytě červenou barvu listopadu poupata tentokrát obdivovat nemohou květů konce";"[{"slug": "vjezd-na-blesi-trhy-v-praze-obsadila-policie-nepustila-tam-asi-stovku-lidi", "coefficient": 0.29189868843027394}, {"slug": "na-zahrade-si-postavili-druhy-dum-zachranuje-je-pred-domaci-ponorkou", "coefficient": 0.29062829637489423}, {"slug": "moderni-trosecnici-jak-se-zije-cechum-ktere-pandemie-uveznila-v-zahranici", "coefficient": 0.2873730137421432}, {"slug": "sazejte-stromy-navzdory-covidu-s-posvecenim-obce-nebo-na-vlastni-zahrade", "coefficient": 0.28487657230833363}, {"slug": "skatulata-s-obcemi-se-lidem-vyplatila-neomezuji-je-hranice-okresu", "coefficient": 0.28276992590239763}, {"slug": "kladenska-chlouba-od-davida-vavry-na-stolete-divadlo-je-mesto-opet-hrde", "coefficient": 0.2809239482192037}, {"slug": "deska-tri-sester-muze-stat-i-par-tisic-gott-drahy-neni-rika-sberatel-vinylu", "coefficient": 0.27732677638103825}, {"slug": "modelari-kroti-sve-pandemicke-blues-vraceji-se-ke-staremu-konicku", "coefficient": 0.2771823218254543}, {"slug": "obrazem-jak-funguje-klaudianova-nemocnice-pri-hromadnem-postizeni-osob", "coefficient": 0.272853427073404}, {"slug": "zahrada-ve-svahu-je-zajimavejsi-jen-pozor-na-sklon-radi-ferdinand-leffler", "coefficient": 0.27422188582969786}]";NULL
667891;22;"Policisté v Praze našli mrtvou ženu a zraněného muže. Ten zemřel v nemocnici";policiste-v-praze-nasli-mrtvou-zenu-a-zraneneho-muze-ten-zemrel-v-nemocnici;"V pražských Stodůlkách byla v neděli večer nalezena zavražděná žena a muž ve vážném zdravotním stavu. Ten později zemřel v nemocnici. Příčiny úmrtí podle policie ukáže až pitva. Na místě se našlo i malé dítě, které je v pořádku.";"V pražských Stodůlkách byla v neděli večer nalezena zavražděná žena a muž ve vážném zdravotním stavu. Ten později zemřel v nemocnici. Příčiny úmrtí podle policie ukáže až pitva. Na místě se našlo i malé dítě, které je v pořádku.<p><a href='https://www.idnes.cz/zpravy/cerna-kronika/praha-stodulky-policie-vrazda-pitva-nemocnice.A210214_212446_krimi_baky#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/zpravy/cerna-kronika/praha-stodulky-policie-vrazda-pitva-nemocnice.A210214_212446_krimi_baky#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main;default.jpg;"2021-02-14 22:09:52";"2021-02-14 22:09:52";"2021-02-14 22:09:52";16;0;NULL;"vážném zdravotním stavu v nalezena pražských stodůlkách vážném neděli později zemřel pitva místě stodůlkách příčiny úmrtí zavražděná pražských policie ukáže stavu";"[{"slug": "spatne-zajistene-opravovane-auto-spadlo-na-muze-na-miste-zemrel", "coefficient": 0.3404149314732826}, {"slug": "policie-setri-smrt-mladika-v-nemocnici-nepomohli-mu-vini-spital-pribuzni", "coefficient": 0.325803140986068}, {"slug": "muz-natacel-jak-policiste-vysetruji-nehody-jednoho-z-nich-pak-napadl", "coefficient": 0.3189873672708395}, {"slug": "policie-v-praze-uzavrela-ulici-je-v-tom-organizovany-zlocin", "coefficient": 0.3016896125497561}, {"slug": "slozte-mandat-vyzvali-zastupitele-miliardare-sehnala-kvuli-ockovani", "coefficient": 0.2966562014367128}, {"slug": "blesi-trh-ve-vysocanech-je-otevreny-i-pres-zakaz-provozovateli-hrozi-sankce", "coefficient": 0.29513994709866337}, {"slug": "na-skalach-v-podbabe-nasli-lidskou-kostru-pripad-resi-policie", "coefficient": 0.2949018002970383}, {"slug": "pred-ministerstvem-zdravotnictvi-se-vecer-zastrelil-50lety-muz", "coefficient": 0.29443012213634384}, {"slug": "pozar-serverovny-v-zabehlicich-zpusobil-skodu-pet-milionu-korun", "coefficient": 0.29417172274783715}, {"slug": "dalnici-d8-blokovaly-ve-smeru-na-nemecko-nehody-kamionu-jeden-clovek-zemrel", "coefficient": 0.29388977039399106}]";NULL
667961;22;"Startupy i kutilové pro obranu NATO? Proč ne, říká účastnice hackathonu";startupy-i-kutilove-pro-obranu-nato-proc-ne-rika-ucastnice-hackathonu;"S týmem studentů Univerzity Karlovy uspěla v unikátním hackathonu, který ukázal NATO, jak inovovat přístupy k různým současným a budoucím výzvám. „Mladí jsou otevření novým přístupům, a to může být výhoda,“ říká v rozhovoru Markéta Štauberová.";"S týmem studentů Univerzity Karlovy uspěla v unikátním hackathonu, který ukázal NATO, jak inovovat přístupy k různým současným a budoucím výzvám. „Mladí jsou otevření novým přístupům, a to může být výhoda,“ říká v rozhovoru Markéta Štauberová.<p><a href='https://www.idnes.cz/zpravy/nato/startup-hackathon-nato-stauber-vyzvy-inovace-aktivni-zaloha.A210213_165002_zpr_nato_inc#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/zpravy/nato/startup-hackathon-nato-stauber-vyzvy-inovace-aktivni-zaloha.A210213_165002_zpr_nato_inc#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main;default.jpg;"2021-02-14 22:09:54";"2021-02-14 22:09:54";"2021-02-14 22:09:54";16;0;NULL;"otevření novým přístupům v výzvám rozhovoru markéta štauberová novým inovovat unikátním hackathonu výzvám nato ukázal nato různým ukázal inovovat přístupy studentů hackathonu";"[{"slug": "cesko-se-ve-vydajich-na-obranu-polepsilo-presto-je-v-nato-sedme-od-konce", "coefficient": 0.3440836814910392}, {"slug": "vice-penez-na-odstraseni-nepratel-a-revize-odolnosti-planuje-sef-nato", "coefficient": 0.28561420626052836}, {"slug": "nato-nas-chrani-mini-tri-ctvrtiny-cechu-od-vstupu-uplynulo-22-let", "coefficient": 0.28309913120942126}, {"slug": "dny-nato-slavi-20-let-vyrocni-special-sledujte-zive-v-patek-na-idnes", "coefficient": 0.28274125116429655}, {"slug": "legenda-kalasnikov-miri-na-zapad-nova-ak-19-strili-v-razi-standardu-nato", "coefficient": 0.2804316084896477}, {"slug": "taliban-vyzyva-nato-k-odchodu-az-prijde-pravy-cas-tvrdi-spojenci", "coefficient": 0.27833904560083556}, {"slug": "tesim-se-az-budu-servirovat-na-talir-ne-do-krabicky-rika-ondrej-slanina", "coefficient": 0.2734167718445401}, {"slug": "superdrony-vstupuji-do-sluzby-zacnou-hlidat-vychodni-a-jizni-hranici-nato", "coefficient": 0.27326334218544013}, {"slug": "vedeni-sklarny-agc-se-ujal-ital-to-nejtezsi-ma-obor-snad-za-sebou-veri", "coefficient": 0.2706345682378398}, {"slug": "proc-zvirata-skacou-podivni-kralici-pomohli-najit-gen-ktery-za-to-muze", "coefficient": 0.2702400047239714}]";NULL
668101;22;"MAFRA upevnila pozici největšího multimediálního domu na českém trhu";mafra-upevnila-pozici-nejvetsiho-multimedialniho-domu-na-ceskem-trhu;"Souhrnný zásah tištěných titulů mediální skupiny MAFRA ve 2. pololetí roku 2020 mírně vzrostl na 3,3 milionu čtenářů na vydání, potvrzují výsledky výzkumu čtenosti Media projekt. Nárůst zaznamenalo 26 z 33 sledovaných titulů. MAFRA tak upevnila pozici největšího multimediálního domu na českém trhu.";"Souhrnný zásah tištěných titulů mediální skupiny MAFRA ve 2. pololetí roku 2020 mírně vzrostl na 3,3 milionu čtenářů na vydání, potvrzují výsledky výzkumu čtenosti Media projekt. Nárůst zaznamenalo 26 z 33 sledovaných titulů. MAFRA tak upevnila pozici největšího multimediálního domu na českém trhu.<p><a href='https://www.idnes.cz/zpravy/mediahub/mafra-media-projekt-ctenost.A210215_082451_mediahub_jpl#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/zpravy/mediahub/mafra-media-projekt-ctenost.A210215_082451_mediahub_jpl#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main;default.jpg;"2021-02-15 10:10:08";"2021-02-15 10:10:08";"2021-02-15 10:10:08";16;0;NULL;"3 milionu čtenářů titulů skupiny nárůst zaznamenalo 26 mafra mediální 33 sledovaných titulů domu českém tištěných českém trhu zásah zásah vydání souhrnný";"[{"slug": "nove-pribyva-divaku-nejsledovanejsi-jsou-televizni-noviny", "coefficient": 0.30345868003787163}, {"slug": "cosmopolitan-nove-vede-adela-mazankova-strida-sabrinu-karasovou", "coefficient": 0.29906657432749645}, {"slug": "vysileny-srnec-uvazl-na-zamrzlem-jezeru-zachranili-ho-straznici-se-clunem", "coefficient": 0.2937440568505459}, {"slug": "zastupce-tiskove-mluvci-bileho-domu-rezignoval-vyhrozoval-novinarce", "coefficient": 0.28709212830148967}, {"slug": "australsky-vydavatel-seven-west-se-dohodl-s-googlem-na-placeni-zprav", "coefficient": 0.2822844118728033}, {"slug": "unor-byl-pro-cnn-prima-news-prima-krimi-i-prima-max-divacky-uspesny", "coefficient": 0.2801382654989498}, {"slug": "hasici-nasli-telo-zasypaneho-delnika-na-praze-5-pod-zemi-byl-asi-6-hodin", "coefficient": 0.27946276668713177}, {"slug": "pri-koupi-kamen-vychazejte-z-tepelne-ztraty-domu-a-zpusobu-vytapeni", "coefficient": 0.27736605708282264}, {"slug": "v-duchcove-na-teplicku-horel-dum-osm-lidi-se-nadychalo-koure", "coefficient": 0.27708661463057505}, {"slug": "video-mlady-vlk-objevil-fotopast-v-ceskem-svycarsku-poradne-si-s-ni-pohral", "coefficient": 0.27636237330262675}]";NULL
668391;22;"Zástupce tiskové mluvčí Bílého domu rezignoval, vyhrožoval novinářce";zastupce-tiskove-mluvci-bileho-domu-rezignoval-vyhrozoval-novinarce;"Zástupce tiskové mluvčí Bílého domu T. J. Ducklo v sobotu rezignoval. Stalo se tak den poté, co byl suspendován kvůli výhrůžkám novinářce, která chtěla napsat o jeho vztahu s jinou reportérkou.";"Zástupce tiskové mluvčí Bílého domu T. J. Ducklo v sobotu rezignoval. Stalo se tak den poté, co byl suspendován kvůli výhrůžkám novinářce, která chtěla napsat o jeho vztahu s jinou reportérkou.<p><a href='https://www.idnes.cz/zpravy/mediahub/bily-dum-rezignace-zastupce-tiskove-mluvci.A210215_083439_mediahub_jpl#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/zpravy/mediahub/bily-dum-rezignace-zastupce-tiskove-mluvci.A210215_083439_mediahub_jpl#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main;default.jpg;"2021-02-15 14:10:18";"2021-02-15 14:10:18";"2021-02-15 14:10:18";16;0;NULL;"sobotu rezignoval zástupce tiskové mluvčí bílého domu bílého den poté mluvčí chtěla napsat tiskové jinou reportérkou rezignoval ducklo zástupce";"[{"slug": "pankova-je-novou-mluvci-agrarni-komory-po-dvou-mesicich-nahradila-sestaka", "coefficient": 0.31522543231779077}, {"slug": "s-pomoci-mafie-popularni-americky-guverner-vedl-tajnou-zakulisni-hru", "coefficient": 0.30444030213467993}, {"slug": "muz-vyhrozoval-pak-se-zabarikadoval-v-byte-policie-ho-predala-psychiatrum", "coefficient": 0.2932797016111678}, {"slug": "mafra-upevnila-pozici-nejvetsiho-multimedialniho-domu-na-ceskem-trhu", "coefficient": 0.28709212830148967}, {"slug": "v-duchcove-na-teplicku-horel-dum-osm-lidi-se-nadychalo-koure", "coefficient": 0.28523762297441435}, {"slug": "rekord-diky-koronaviru-popularita-labske-stezky-okolo-hradce-prudce-stoupa", "coefficient": 0.2806211714418249}, {"slug": "pri-koupi-kamen-vychazejte-z-tepelne-ztraty-domu-a-zpusobu-vytapeni", "coefficient": 0.2794085735184539}, {"slug": "petra-kucerova-opousti-vezenskou-sluzbu-bude-mluvit-za-spravu-silnic", "coefficient": 0.27759585991563684}, {"slug": "az-budete-stavet-betonovy-plot-nezapomente-poradne-pechovat", "coefficient": 0.27708842509146264}, {"slug": "po-pozaru-garsonky-v-bohnicich-skoncili-tri-lide-v-nemocnici", "coefficient": 0.2762336791763517}]";NULL
668411;22;"Selhala jsem, napsala matka utýraného chlapce. Dohodla se na 8,5 letech";selhala-jsem-napsala-matka-utyraneho-chlapce-dohodla-se-na-85-letech;"Simona T. z Loun, jež přihlížela tomu, jak její partner Josef Kuča týrá jejího tříletého syna, který nakonec zemřel, uzavřela se žalobcem před krajským soudem dohodu o vině a trestu. Ve vězení stráví osm a půl roku. Dohodu uzavřel i obžalovaný Michal H., který s rodinou bydlel. Odešel s podmínkou.";"Simona T. z Loun, jež přihlížela tomu, jak její partner Josef Kuča týrá jejího tříletého syna, který nakonec zemřel, uzavřela se žalobcem před krajským soudem dohodu o vině a trestu. Ve vězení stráví osm a půl roku. Dohodu uzavřel i obžalovaný Michal H., který s rodinou bydlel. Odešel s podmínkou.<p><a href='https://www.idnes.cz/usti/zpravy/utyrany-chlapec-louny-otcim-matka-jen-prihlizeli-paleni-zehlickou-josef-kuca.A210215_120045_usti-zpravy_prib#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/usti/zpravy/utyrany-chlapec-louny-otcim-matka-jen-prihlizeli-paleni-zehlickou-josef-kuca.A210215_120045_usti-zpravy_prib#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main;default.jpg;"2021-02-15 14:10:19";"2021-02-15 14:10:19";"2021-02-15 14:10:19";16;0;NULL;"jež přihlížela tomu dohodu partner vězení stráví osm loun jež přihlížela tomu obžalovaný michal h tomu jež krajským soudem dohodu loun dohodu uzavřel simona";"[{"slug": "nevyhazujte-skorapky-originalni-mnozirna-bude-rajem-pro-vase-sazenice", "coefficient": 0.29459496933889445}, {"slug": "kviz-odlehle-zname-i-puste-znate-nejzajimavejsi-ostrovy-sveta", "coefficient": 0.29394582413106685}, {"slug": "nejuzsi-dum-v-londyne-je-na-prodej-podivejte-se-jak-se-v-nem-bydli", "coefficient": 0.29337028251022745}, {"slug": "unos-v-primem-prenosu-zlocinci-se-nestitili-strilet-na-nezletileho-chlapce", "coefficient": 0.2903208850732822}, {"slug": "desivy-plan-pedofil-dopredu-vedel-ze-chlapce-nejen-zneuzije", "coefficient": 0.28747987169505357}, {"slug": "kamion-vzplal-po-stretu-s-autem-u-votic-silnice-byla-zavrena-ridic-zemrel", "coefficient": 0.2808901176516385}, {"slug": "u-dobrise-se-objevila-kocka-divoka-na-pribramsko-se-vratila-po-sto-letech", "coefficient": 0.28006404398350954}, {"slug": "myslel-jsem-ze-jsou-starsi-tvrdi-obzalovany-ze-zneuzivani-divek-v-siti", "coefficient": 0.27921976482826527}, {"slug": "predjel-jsem-i-sam-sebe-za-24-hodin-jsem-ale-na-kole-urval-911-kilometru", "coefficient": 0.2771989386253869}, {"slug": "skleneny-dum-na-vaclavaku-je-po-10-letech-dokoncen-stoji-na-mostech", "coefficient": 0.27338204196290233}]";NULL
668431;22;"Aero dodá celou letku nových cvičných letounů L-39NG do Vietnamu";aero-doda-celou-letku-novych-cvicnych-letounu-l-39ng-do-vietnamu;"Český výrobce Aero Vodochody dodá dvanáct nových cvičných letounů L-39NG do Vietnamu. Zakázku v hodnotě několika miliard korun podepsali zástupci vietnamského ministerstva obrany a společnosti Omnipol, která je pro českého leteckého výrobce strategickým partnerem.";"Český výrobce Aero Vodochody dodá dvanáct nových cvičných letounů L-39NG do Vietnamu. Zakázku v hodnotě několika miliard korun podepsali zástupci vietnamského ministerstva obrany a společnosti Omnipol, která je pro českého leteckého výrobce strategickým partnerem.<p><a href='https://www.idnes.cz/zpravy/nato/aero-l-39ng-letoun-vietnam-omnipol-cvicny-dodavka.A210215_121335_zpr_nato_inc#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/zpravy/nato/aero-l-39ng-letoun-vietnam-omnipol-cvicny-dodavka.A210215_121335_zpr_nato_inc#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main;default.jpg;"2021-02-15 14:10:19";"2021-02-15 14:10:19";"2021-02-15 14:10:19";16;0;NULL;"společnosti omnipol výrobce aero vietnamu omnipol výrobce zakázku vietnamského ministerstva letounů strategickým český vietnamu";"[{"slug": "nova-casa-pro-ceskou-armadu-poprve-ve-vzduchu-vyrobce-ma-zpozdeni", "coefficient": 0.34510123346093535}, {"slug": "jedy-pro-agent-orange-me-malem-zabily-rika-byvaly-delnik-ceske-chemicky", "coefficient": 0.30878950435581054}, {"slug": "tatra-doda-stovky-podvozku-a-kabin-pro-vozidla-belgicke-armady", "coefficient": 0.29151386877644736}, {"slug": "kdyz-neletam-neni-se-mnou-rec-tvrdi-akrobaticky-kral-martin-sonka", "coefficient": 0.28975101014103277}, {"slug": "armada-musi-kanibalizovat-obrnence-ze-skladu-nakup-novych-je-znovu-ohrozen", "coefficient": 0.2837091595046604}, {"slug": "zachranarka-jakmile-covid-pozitivni-nezvladne-celou-vetu-jde-do-tuheho", "coefficient": 0.27937882815791115}, {"slug": "pred-ministerstvem-zdravotnictvi-se-vecer-zastrelil-50lety-muz", "coefficient": 0.27449428960926836}, {"slug": "pred-ministerstvem-zdravotnictvi-byl-nalezen-zastreleny-50lety-muz", "coefficient": 0.27418401996383135}, {"slug": "soused-odstranil-celou-podlahu-a-na-panely-dal-dlazbu-mne-zacalo-peklo", "coefficient": 0.2723904467793689}, {"slug": "doma-varim-rad-a-bez-stresu-je-to-lepsi-nez-luxovat-rika-roman-paulus", "coefficient": 0.26434335963587574}]";NULL
668451;22;"Komisaře čeká soud za pomoc zájemcům o řidičák, ze zkoušek byla fraška";komisare-ceka-soud-za-pomoc-zajemcum-o-ridicak-ze-zkousek-byla-fraska;"Dva zkušební komisaři městského úřadu Vsetín, pod jejichž dohledem se ve městě dělaly zkoušky na řidičský průkaz, pojali svůj úkol hodně svérázně. Nechávali studenty bez dozoru, umožnili jim radit si navzájem během testů nebo využít pomoc instruktora z autoškoly. V několika případech dokonce s radou přispěchali osobně.";"Dva zkušební komisaři městského úřadu Vsetín, pod jejichž dohledem se ve městě dělaly zkoušky na řidičský průkaz, pojali svůj úkol hodně svérázně. Nechávali studenty bez dozoru, umožnili jim radit si navzájem během testů nebo využít pomoc instruktora z autoškoly. V několika případech dokonce s radou přispěchali osobně.<p><a href='https://www.idnes.cz/zlin/zpravy/zlinsky-kraj-policie-zkousky-ridicsky-prukaz-autoskola-zkusebni-komisar-soud.A210215_113625_zlin-zpravy_ppr#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/zlin/zpravy/zlinsky-kraj-policie-zkousky-ridicsky-prukaz-autoskola-zkusebni-komisar-soud.A210215_113625_zlin-zpravy_ppr#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main;default.jpg;"2021-02-15 14:10:20";"2021-02-15 14:10:20";"2021-02-15 14:10:20";16;0;NULL;"městě dělaly zkoušky komisaři městského úřadu pojali úkol hodně svérázně vsetín pod průkaz umožnili jim radit pod navzájem během testů vsetín využít pomoc instruktora zkušební";"[{"slug": "skatulata-s-obcemi-se-lidem-vyplatila-neomezuji-je-hranice-okresu", "coefficient": 0.30977517805551547}, {"slug": "co-delat-kdyz-spadne-lavina-reporter-zazil-vyprostovani-ze-snehoveho-zavalu", "coefficient": 0.2876777939038334}, {"slug": "policistu-poslal-soud-za-vyrobu-pervitinu-na-dva-roky-do-vezeni", "coefficient": 0.2780319478307009}, {"slug": "exsenator-novak-dal-nesmi-vycestovat-ze-zeme-soud-zadost-zamitl", "coefficient": 0.2765343343115056}, {"slug": "soud-ceska-televize-musi-zaplatit-vitaskove-80-tisic-za-nepravdivy-vyrok", "coefficient": 0.27619012870093534}, {"slug": "video-ze-starych-autobusu-vznikl-v-cine-maly-hotel", "coefficient": 0.2755237312330658}, {"slug": "soudkyne-barbara-bydli-v-dome-za-prahou-cesta-k-nemu-byla-trnita", "coefficient": 0.2733421769392817}, {"slug": "projevil-neuctu-k-zivotu-potvrdil-soud-trest-za-strceni-muze-pod-metro", "coefficient": 0.2732548849432538}, {"slug": "lide-se-tlacili-pred-restauraci-kvuli-nizkym-cenam-pry-neslyseli-servirku", "coefficient": 0.27243168305068616}, {"slug": "prvni-trest-za-bitku-na-protivladni-demonstraci-byla-to-kravina-rekl-vytrznik", "coefficient": 0.2724071679470203}]";NULL
668621;22;"Nově přibývá diváků, nejsledovanější jsou Televizní noviny";nove-pribyva-divaku-nejsledovanejsi-jsou-televizni-noviny;"Skupina Nova potvrdila pozici nejsledovanější televizní skupiny na českém trhu, když v minulém týdnu programem svých stanic v prime time zaujala 38,49 procenta diváků ve skupině 15-54 u televizních obrazovek. V meziročním srovnání jde o nárůst o 0,83 procentního bodu.";"Skupina Nova potvrdila pozici nejsledovanější televizní skupiny na českém trhu, když v minulém týdnu programem svých stanic v prime time zaujala 38,49 procenta diváků ve skupině 15-54 u televizních obrazovek. V meziročním srovnání jde o nárůst o 0,83 procentního bodu.<p><a href='https://www.idnes.cz/zpravy/mediahub/nova-sledovanost-televizni-noviny.A210215_165936_mediahub_ven#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/zpravy/mediahub/nova-sledovanost-televizni-noviny.A210215_165936_mediahub_ven#utm_source=rss&utm_medium=feed&utm_campaign=zpravodaj&utm_content=main;default.jpg;"2021-02-15 18:10:27";"2021-02-15 18:10:27";"2021-02-15 18:10:27";16;0;NULL;"minulém týdnu programem v obrazovek meziročním srovnání jde o procenta českém trhu nova potvrdila zaujala 49 procenta diváků procentního trhu skupině 15-54 skupina";"[{"slug": "kanal-prima-zoom-mel-rekordni-tyden-novy-polda-startoval-s-milionem-divaku", "coefficient": 0.32724519215733494}, {"slug": "mafra-upevnila-pozici-nejvetsiho-multimedialniho-domu-na-ceskem-trhu", "coefficient": 0.30345868003787163}, {"slug": "nova-minuly-tyden-divaky-zaujala-navratem-masterchefa", "coefficient": 0.3003472470096429}, {"slug": "na-nove-se-v-duelech-utkaji-soutezici-z-predeslych-rad-masterchefa", "coefficient": 0.2992747412781034}, {"slug": "cesko-se-ve-vydajich-na-obranu-polepsilo-presto-je-v-nato-sedme-od-konce", "coefficient": 0.28888551178781047}, {"slug": "ptaci-chripka-je-v-pulce-kraju-nove-i-v-osvetimanech-na-uherskohradistsku", "coefficient": 0.2835866759432018}, {"slug": "unor-byl-pro-cnn-prima-news-prima-krimi-i-prima-max-divacky-uspesny", "coefficient": 0.28263733443609873}, {"slug": "v-cesku-sleduje-streamovaci-sluzby-v-porovnani-s-evropou-temer-nejmene-divaku", "coefficient": 0.2791470248187125}, {"slug": "cosmopolitan-nove-vede-adela-mazankova-strida-sabrinu-karasovou", "coefficient": 0.2762546937562613}, {"slug": "horoskop-pro-kazde-znameni-na-10-tyden-roku-2021", "coefficient": 0.2763171347860771}]";NULL
