id;author_id;title;slug;excerpt;body;original_link;image;created_at;updated_at;published_at;category_id;views;deleted_at;keywords;recommended;meta_id
676181;22;"Všechny devětatřicítky. Výlet u příležitosti významného kontraktu";vsechny-devetatricitky-vylet-u-prilezitosti-vyznamneho-kontraktu;"U příležitosti čerstvé vietnamské objednávky na nový cvičný letoun československé konstrukce L-39NG si obrazem a filmem připomeňme slávu původního Albatrosu stejného typového čísla. Ta sláva stále nevyhasla, stejně jeho motor, vždyť stovky těchto letadel jsou stále v aktivní službě.";"U příležitosti čerstvé vietnamské objednávky na nový cvičný letoun československé konstrukce L-39NG si obrazem a filmem připomeňme slávu původního Albatrosu stejného typového čísla. Ta sláva stále nevyhasla, stejně jeho motor, vždyť stovky těchto letadel jsou stále v aktivní službě.<p><a href='https://www.idnes.cz/technet/vojenstvi/l-39ng-albatros-vietnam-zakazka.A210219_122259_vojenstvi_erp#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/technet/vojenstvi/l-39ng-albatros-vietnam-zakazka.A210219_122259_vojenstvi_erp#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main;default.jpg;"2021-02-21 12:10:26";"2021-02-21 12:10:26";"2021-02-21 12:10:26";13;0;NULL;"sláva stále nevyhasla stále vietnamské aktivní službě si čerstvé stále příležitosti příležitosti obrazem připomeňme čísla stejně aktivní konstrukce";"[{"slug": "boeing-nebo-airbus-rozdily-jsou-obrovske-pro-piloty-ne-pro-cestujici", "coefficient": 0.27361420329340014}, {"slug": "budes-bydlet-v-cesku-nebo-na-marsu-dnes-narozene-deti-si-mozna-mohou-vybrat", "coefficient": 0.27343178539009666}, {"slug": "fascinujici-objev-stop-naprimujiciho-se-krale-dinosauru", "coefficient": 0.2697261901985515}, {"slug": "posledni-bojovy-letoun-armady-usa-byl-neco-mezi-sportakem-a-stihackou", "coefficient": 0.26453816946172953}, {"slug": "komentar-vrati-se-dustojne-letani-krize-jako-prilezitost-pro-restart", "coefficient": 0.2642902771955829}, {"slug": "skrtic-v-letadle-csa-zriceni-zabranila-sala-i-duchapritomnost-pilota", "coefficient": 0.2628866408174435}, {"slug": "vitorazsko-je-ceske-radovaly-se-ze-scitani-lidu-pred-100-lety-lidove-noviny", "coefficient": 0.2617252357956619}, {"slug": "nejzajimavejsi-ceskoslovensky-letoun-k-obrane-vlasti-vznikal-v-pragovce", "coefficient": 0.25900112113751994}, {"slug": "pribeh-obra-ruskeho-letectva-proc-britove-neprodali-sovetum-svuj-motor", "coefficient": 0.25850583509042796}, {"slug": "chotovinsky-katolicky-farar-presel-pred-100-lety-i-s-kostelem-k-husitum", "coefficient": 0.25844604058609416}]";NULL
676191;22;"Co může ukázat snímek Slunce, odhaluje v Rozstřelu matematik a fotograf";co-muze-ukazat-snimek-slunce-odhaluje-v-rozstrelu-matematik-a-fotograf;"Český matematik a známý fotograf vesmíru Miloslav Druckmüller zabodoval svými snímky různých vesmírných obkjektů nejen u nás, ale i ve světě. Asi nejznámější je v tomto ohledu snímek sluneční korony pořízený při jednom zatmění. Jaké tajemství ještě Slunce skrývá a jak se fotí? To autor vysvětluje v Rozstřelu.";"Český matematik a známý fotograf vesmíru Miloslav Druckmüller zabodoval svými snímky různých vesmírných obkjektů nejen u nás, ale i ve světě. Asi nejznámější je v tomto ohledu snímek sluneční korony pořízený při jednom zatmění. Jaké tajemství ještě Slunce skrývá a jak se fotí? To autor vysvětluje v Rozstřelu.<p><a href='https://www.idnes.cz/technet/audio-foto-video/miloslav-druckmuller-slunce-fotografie.A210219_141319_audio-foto-video_vse#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/technet/audio-foto-video/miloslav-druckmuller-slunce-fotografie.A210219_141319_audio-foto-video_vse#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main;default.jpg;"2021-02-21 12:10:26";"2021-02-21 12:10:26";"2021-02-21 12:10:26";13;0;NULL;"český matematik český matematik známý jednom zatmění v matematik jaké tajemství autor vysvětluje světě slunce skrývá nás autor vysvětluje český";"[{"slug": "autor-legendarniho-krtecka-se-narodil-pred-100-lety", "coefficient": 0.30151243419360285}, {"slug": "cesi-zrekonstruovali-slavny-zaber-einsteinova-zatmeni-slunce", "coefficient": 0.28024577335190526}, {"slug": "vedci-konecne-ukazali-jak-opravdu-fungoval-pocitac-stary-2000-let", "coefficient": 0.277875762231531}, {"slug": "muz-nakazliveho-smichu-svitacek-se-po-zakazu-objevil-i-ve-formanove-amadeovi", "coefficient": 0.2736794560401687}, {"slug": "kariera-od-mikroskopu-jak-ctyri-cesti-vedci-rozsiruji-nase-chapani-sveta", "coefficient": 0.27075520502503947}, {"slug": "ockujme-i-deti-jinak-muze-virus-zmutovat-do-drsnejsi-formy-rika-genetik", "coefficient": 0.26999757587986273}, {"slug": "breznovy-projekt-wikigap-chce-aby-se-na-wikipedii-objevilo-vic-zen", "coefficient": 0.26707554476175216}, {"slug": "ockovani-ucitelu-otevreni-skol-nepriblizi-radeji-ockujme-seniory", "coefficient": 0.26632064379978915}, {"slug": "zemrel-novinar-a-spisovatel-karel-pacner-byl-u-startu-prvnich-lidi-na-mesic", "coefficient": 0.2663117255593222}, {"slug": "sto-objevu-virtualni-svet-internetu-pomahal-armade-pak-pohltil-zemi", "coefficient": 0.2645423115343213}]";NULL
676201;22;"Muž nakažlivého smíchu Svitáček se po zákazu objevil i ve Formanově Amadeovi";muz-nakazliveho-smichu-svitacek-se-po-zakazu-objevil-i-ve-formanove-amadeovi;"Před 100 lety se narodil český herec, scénárista a režisér Vladimír Svitáček - muž nakažlivého smíchu.";"Před 100 lety se narodil český herec, scénárista a režisér Vladimír Svitáček - muž nakažlivého smíchu.<p><a href='https://www.idnes.cz/technet/pred-100-lety/vladimir-svitacek-pred-100-lety-amadeus-hornicek-werich.A210219_113930_pred-100-lety_vov#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/technet/pred-100-lety/vladimir-svitacek-pred-100-lety-amadeus-hornicek-werich.A210219_113930_pred-100-lety_vov#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main;default.jpg;"2021-02-21 12:10:27";"2021-02-21 12:10:27";"2021-02-21 12:10:27";13;0;NULL;"narodil český herec lety narodil český muž režisér vladimír svitáček herec scénárista svitáček muž nakažlivého smíchu scénárista 100 lety herec scénárista lety";"[{"slug": "autor-legendarniho-krtecka-se-narodil-pred-100-lety", "coefficient": 0.35536097601253913}, {"slug": "nedockave-ceskoslovensko-lide-pred-100-lety-napjate-vyhlizeli-vysledky-scitani-lidu", "coefficient": 0.31715033565049777}, {"slug": "bourani-pomniku-pred-100-lety-se-resil-habsbursky-odkaz", "coefficient": 0.3071385276637286}, {"slug": "nezavislost-gruzie-se-pred-100-lety-chylila-ke-konci", "coefficient": 0.3057258915082264}, {"slug": "vitorazsko-je-ceske-radovaly-se-ze-scitani-lidu-pred-100-lety-lidove-noviny", "coefficient": 0.29996231363714054}, {"slug": "humanni-a-moderni-v-nevade-schvalili-pred-100-lety-popravu-plynem", "coefficient": 0.29569796186637876}, {"slug": "kudy-povede-hranice-v-hornim-slezsku-pred-100-lety-rozhodoval-plebiscit", "coefficient": 0.29563374061168357}, {"slug": "pred-100-lety-zacal-prvni-pokus-o-reformu-komunismu-nep", "coefficient": 0.29416453002426113}, {"slug": "gagarin-ukazal-cestu-do-vesmiru-a-zahajil-tak-i-souboj-o-mesic", "coefficient": 0.29397167657160944}, {"slug": "jaka-bude-ksc-svou-vizi-sepsal-pred-100-lety-bohumir-smeral", "coefficient": 0.28633613471274777}]";NULL
676211;22;"Planeta Země zažila nejtišší rok za poslední desítky let, odhalila studie";planeta-zeme-zazila-nejtissi-rok-za-posledni-desitky-let-odhalila-studie;"Planeta Země zažila kvůli pandemii covidu-19 nejtišší rok za poslední nejméně dvě desítky let, zjistil tým seismologů vedený odborníky z univerzity ETH v Curychu. Podle jeho měření se loni v souvislosti s karanténami po celém světě podstatně snížila míra lidské aktivity a s ní související hluk. V některých obdobích se takzvaný ambientní hluk způsobený dopravou či činností továren snížil až o polovinu.";"Planeta Země zažila kvůli pandemii covidu-19 nejtišší rok za poslední nejméně dvě desítky let, zjistil tým seismologů vedený odborníky z univerzity ETH v Curychu. Podle jeho měření se loni v souvislosti s karanténami po celém světě podstatně snížila míra lidské aktivity a s ní související hluk. V některých obdobích se takzvaný ambientní hluk způsobený dopravou či činností továren snížil až o polovinu.<p><a href='https://www.idnes.cz/technet/vesmir/planeta-zeme-zemekoule-vesmir-hluk-veda-vyzkum.A210219_061929_tec_vesmir_jadv#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/technet/vesmir/planeta-zeme-zemekoule-vesmir-hluk-veda-vyzkum.A210219_061929_tec_vesmir_jadv#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main;default.jpg;"2021-02-21 12:10:27";"2021-02-21 12:10:27";"2021-02-21 12:10:27";13;0;NULL;"činností továren snížil v zjistil univerzity eth hluk let související hluk lidské nejtišší některých obdobích celém pandemii curychu země planeta";"[{"slug": "sto-objevu-virtualni-svet-internetu-pomahal-armade-pak-pohltil-zemi", "coefficient": 0.27982639337249265}, {"slug": "nadvlade-dinosauru-pomohlo-vymirani-pred-201-miliony-let", "coefficient": 0.275954893826575}, {"slug": "solarni-elektrarna-na-sahare-by-zmenila-svet-k-horsimu-tvrdi-studie", "coefficient": 0.27166219445883033}, {"slug": "jak-casto-se-nakazi-jiz-ockovani-dukladna-studie-dala-skvele-vysledky", "coefficient": 0.2704581217554498}, {"slug": "posledni-bojovy-letoun-armady-usa-byl-neco-mezi-sportakem-a-stihackou", "coefficient": 0.2703649438185833}, {"slug": "vyvarujte-se-odpadu-pri-instalaci-programu", "coefficient": 0.2700550688012803}, {"slug": "macbook-air-s-procesorem-apple-m1-zaslapal-verzi-s-intelem-do-zeme", "coefficient": 0.2686021229317471}, {"slug": "vedci-konecne-ukazali-jak-opravdu-fungoval-pocitac-stary-2000-let", "coefficient": 0.26804033979586933}, {"slug": "mig-29-byl-nejvykonnejsi-stihackou-cs-letectva-cesi-ho-ale-brzy-zavrhli", "coefficient": 0.2672477085239168}, {"slug": "budes-bydlet-v-cesku-nebo-na-marsu-dnes-narozene-deti-si-mozna-mohou-vybrat", "coefficient": 0.26544572629956475}]";NULL
676221;22;"Solární elektrárna na Sahaře by změnila svět k horšímu, tvrdí studie";solarni-elektrarna-na-sahare-by-zmenila-svet-k-horsimu-tvrdi-studie;"Sahara osazená solárními panely by možná naplnila sen o zelené poušti i nevyčerpatelném zdroji čisté energie. Skrývá v sobě ovšem z klimatického hlediska i nečekané nebezpečí.";"Sahara osazená solárními panely by možná naplnila sen o zelené poušti i nevyčerpatelném zdroji čisté energie. Skrývá v sobě ovšem z klimatického hlediska i nečekané nebezpečí.<p><a href='https://www.idnes.cz/technet/veda/solarni-elektrarna-sahara.A210218_113732_veda_mla#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/technet/veda/solarni-elektrarna-sahara.A210218_113732_veda_mla#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main;default.jpg;"2021-02-21 12:10:27";"2021-02-21 12:10:27";"2021-02-21 12:10:27";13;0;NULL;"možná naplnila sen sahara osazená solárními panely panely zelené poušti zelené solárními sobě ovšem osazená klimatického hlediska energie nečekané nebezpečí sahara";"[{"slug": "iss-se-pripravuje-na-nove-solarni-panely-stanice-vydrzi-do-roku-2028", "coefficient": 0.3135460846697501}, {"slug": "americka-univerzita-hleda-nekoho-kdo-by-ozivil-mrtve-a-zachranil-svet", "coefficient": 0.2814381381153694}, {"slug": "jak-casto-se-nakazi-jiz-ockovani-dukladna-studie-dala-skvele-vysledky", "coefficient": 0.2729381400642646}, {"slug": "planeta-zeme-zazila-nejtissi-rok-za-posledni-desitky-let-odhalila-studie", "coefficient": 0.27166219445883033}, {"slug": "sto-objevu-virtualni-svet-internetu-pomahal-armade-pak-pohltil-zemi", "coefficient": 0.26980585653196015}, {"slug": "prichazeji-leky-ktere-maji-covid-rychle-zastavit-dostaneme-je-k-pacientum", "coefficient": 0.26772384959907075}, {"slug": "jsou-takovy-zazrak-jak-na-facebooku-tvrdi-zkusili-jsme-sluchatka-pamu", "coefficient": 0.26686879098937866}, {"slug": "vakciny-by-mely-chranit-i-proti-variantam-koronaviru-nekdy-pomaleji", "coefficient": 0.2655964628090442}, {"slug": "vakciny-by-mely-spolehlive-chranit-i-proti-variantam-noveho-koronaviru", "coefficient": 0.2655425880955964}, {"slug": "saha-se-do-rezerv-kolik-volnych-luzek-zbyva-na-ceskych-jipkach", "coefficient": 0.2646871402911107}]";NULL
676231;22;"Úspěch. Americká laboratoř přistála na Marsu i s malým vrtulníkem";uspech-americka-laborator-pristala-na-marsu-i-s-malym-vrtulnikem;"NASA přiletěla na Mars znovu vyzkoušet nejtěžší přistávací manévr, jaký lidstvo na jiné planetě doposud provedlo. Podobně jako před devíti lety, když přistávala pojízdná laboratoř Curiosity, celý proces trval asi sedm minut, o kterých se hovoří jako o „sedmi minutách hrůzy“.";"NASA přiletěla na Mars znovu vyzkoušet nejtěžší přistávací manévr, jaký lidstvo na jiné planetě doposud provedlo. Podobně jako před devíti lety, když přistávala pojízdná laboratoř Curiosity, celý proces trval asi sedm minut, o kterých se hovoří jako o „sedmi minutách hrůzy“.<p><a href='https://www.idnes.cz/technet/vesmir/mars-vozitko-perseverance-nasa-amal-uae-tchien-wen-pristani-2021.A210212_235142_tec_vesmir_vse#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/technet/vesmir/mars-vozitko-perseverance-nasa-amal-uae-tchien-wen-pristani-2021.A210212_235142_tec_vesmir_vse#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main;default.jpg;"2021-02-21 12:10:27";"2021-02-21 12:10:27";"2021-02-21 12:10:27";13;0;NULL;"planetě doposud provedlo o přiletěla celý proces trval jako provedlo „sedmi minutách hrůzy přiletěla mars jaký nasa přiletěla minutách manévr jaký lidstvo nasa";"[{"slug": "prvni-helikoptera-na-marsu-prezila-mrazivou-noc-a-chysta-se-k-letu", "coefficient": 0.3059024947615797}, {"slug": "chrani-i-deti-pfizer-oznamil-dalsi-uspech-vakciny-proti-covidu-19", "coefficient": 0.2866027745364967}, {"slug": "americka-univerzita-hleda-nekoho-kdo-by-ozivil-mrtve-a-zachranil-svet", "coefficient": 0.28209357706569704}, {"slug": "cina-poprve-dorazila-k-marsu-a-hned-tam-planuje-vysadek", "coefficient": 0.2808656626838958}, {"slug": "budes-bydlet-v-cesku-nebo-na-marsu-dnes-narozene-deti-si-mozna-mohou-vybrat", "coefficient": 0.28035836456213914}, {"slug": "velky-unorovy-meziplanetarni-slet-u-marsu-zacina-priletem-sondy-sae", "coefficient": 0.27967688771774324}, {"slug": "nasa-se-priblizila-navratu-lidi-na-mesic-otestovala-prvni-stupen-rakety", "coefficient": 0.2787616223141921}, {"slug": "vedci-konecne-ukazali-jak-opravdu-fungoval-pocitac-stary-2000-let", "coefficient": 0.27730712401742363}, {"slug": "poslechnete-si-jak-to-zni-kdyz-jezdi-marsovske-vozitko-po-rude-planete", "coefficient": 0.27705998825636846}, {"slug": "premierovy-let-vrtulnicku-nad-marsem-se-odklada-pri-testu-doslo-k-chybe", "coefficient": 0.2702072673678368}]";NULL
676241;22;"Jde to i bezpečně? Jaký vliv má otevření škol na šíření covidu";jde-to-i-bezpecne-jaky-vliv-ma-otevreni-skol-na-sireni-covidu;"Školy rozhodně k přenosu viru SARS-CoV-2 přispívají, jejich přínos nemusí být však zásadní. Ukazují to data z jarního „švédského experimentu“. Přenos nákazy ve škole lze také účinně omezit, naznačují zase zkušenosti z USA. Otázkou je, jak se podaří otevření zrealizovat v promořeném Česku.";"Školy rozhodně k přenosu viru SARS-CoV-2 přispívají, jejich přínos nemusí být však zásadní. Ukazují to data z jarního „švédského experimentu“. Přenos nákazy ve škole lze také účinně omezit, naznačují zase zkušenosti z USA. Otázkou je, jak se podaří otevření zrealizovat v promořeném Česku.<p><a href='https://www.idnes.cz/technet/veda/skoly-nakaza-covid-zkusenost-svedsko-usa.A210216_132010_veda_mla#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/technet/veda/skoly-nakaza-covid-zkusenost-svedsko-usa.A210216_132010_veda_mla#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main;default.jpg;"2021-02-21 12:10:27";"2021-02-21 12:10:27";"2021-02-21 12:10:27";13;0;NULL;"jarního „švédského experimentu z zásadní naznačují zase zkušenosti rozhodně k přínos podaří otevření zrealizovat v promořeném viru školy rozhodně školy přínos nemusí přispívají";"[{"slug": "nadejna-data-stale-pribyva-dokladu-toho-ze-vakciny-brani-sireni-viru", "coefficient": 0.37007997144138816}, {"slug": "ockovani-ucitelu-otevreni-skol-nepriblizi-radeji-ockujme-seniory", "coefficient": 0.31051115471071966}, {"slug": "varianta-koronaviru-z-jar-unikla-dalsi-vakcine-ale-nemusi-to-vadit", "coefficient": 0.30289124906208126}, {"slug": "pomuzou-na-postcovidovy-syndrom-vakciny-zda-se-to-mozne", "coefficient": 0.30262362731894116}, {"slug": "zapomenute-heslo-k-windows-muzete-resetovat-az-na-vyjimku-to-jde-snadno", "coefficient": 0.2859098540134165}, {"slug": "jak-casto-se-nakazi-jiz-ockovani-dukladna-studie-dala-skvele-vysledky", "coefficient": 0.2757002613601976}, {"slug": "chrani-i-deti-pfizer-oznamil-dalsi-uspech-vakciny-proti-covidu-19", "coefficient": 0.2704092121860757}, {"slug": "kdyz-ma-umrit-bambi-verejnost-se-bouri-i-kdyz-si-to-bambi-zaslouzi", "coefficient": 0.26801091728008875}, {"slug": "porad-sopti-podivejte-se-na-primy-prenos-z-nove-islandske-sopky", "coefficient": 0.265154813353356}, {"slug": "sto-objevu-rozhaneni-demonu-i-cesty-do-vesmiru-raketa-ma-dlouhou-historii", "coefficient": 0.26477967120718876}]";NULL
676251;22;"LastPass mění pravidla, bezplatný bude už jen pro jeden typ zařízení";lastpass-meni-pravidla-bezplatny-bude-uz-jen-pro-jeden-typ-zarizeni;"LastPass, oblíbený správce hesel, mění pravidla pro verzi zdarma. Už za necelý měsíc budou uživatelé využívající tuto základní úroveň služby nově omezeni nikoli počtem ukládaných hesel, ani počtem zařízení, ve kterých ji mohou využívat, ale dojde k nasazení zcela jiného modelu.";"LastPass, oblíbený správce hesel, mění pravidla pro verzi zdarma. Už za necelý měsíc budou uživatelé využívající tuto základní úroveň služby nově omezeni nikoli počtem ukládaných hesel, ani počtem zařízení, ve kterých ji mohou využívat, ale dojde k nasazení zcela jiného modelu.<p><a href='https://www.idnes.cz/technet/internet/lastpass-spravce-hesel-premium-families-dashlane-1password.A210217_114238_sw_internet_dvr#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/technet/internet/lastpass-spravce-hesel-premium-families-dashlane-1password.A210217_114238_sw_internet_dvr#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main;default.jpg;"2021-02-21 12:10:27";"2021-02-21 12:10:27";"2021-02-21 12:10:27";13;0;NULL;"oblíbený správce hesel hesel zdarma mění pravidla počtem mění verzi zdarma zcela jiného oblíbený počtem zařízení oblíbený hesel mohou využívat lastpass";"[{"slug": "nastval-vas-lastpass-zmenou-pravidel-tady-jsou-alternativy", "coefficient": 0.3191644753268943}, {"slug": "prihlasujte-se-k-windows-pohledem-otiskem-prstu-i-pinem", "coefficient": 0.29678275318906583}, {"slug": "uzral-cas-vyzkouset-edge-verze-88-prinasi-hromadu-vylepseni", "coefficient": 0.29491960081446983}, {"slug": "cesko-bude-raketova-velmoc-ale-jen-v-tom-spatnem-smyslu", "coefficient": 0.2745350585406148}, {"slug": "komentar-vrati-se-dustojne-letani-krize-jako-prilezitost-pro-restart", "coefficient": 0.26938650351862936}, {"slug": "nadejna-data-stale-pribyva-dokladu-toho-ze-vakciny-brani-sireni-viru", "coefficient": 0.2674252527272323}, {"slug": "maly-krok-pro-cloveka-ale-velky-skok-pro-golf-skoncilo-to-pred-50-lety", "coefficient": 0.26640005550294416}, {"slug": "boeing-nebo-airbus-rozdily-jsou-obrovske-pro-piloty-ne-pro-cestujici", "coefficient": 0.2647556412523642}, {"slug": "facebook-instagram-whatsapp-i-messenger-mely-vypadky-twitter-se-smeje", "coefficient": 0.2641448268369614}, {"slug": "temnou-hmotu-ve-vesmiru-mohou-lide-hledat-chytrym-telefonem", "coefficient": 0.2638920338418798}]";NULL
676261;22;"Válka o soukromí na internetu probíhá i v segmentu vyhledávání";valka-o-soukromi-na-internetu-probiha-i-v-segmentu-vyhledavani;"Počet položených dotazů prostřednictvím internetových prohlížečů každým rokem roste. S tím rostou i požadavky na větší anonymitu ve vyhledávání. Není přitom nutné gigantům jako Google zbytečně předávat soukromá data. Sáhněte například po DuckDuckGo, internetovém vyhledávači, který ctí anonymitu.";"Počet položených dotazů prostřednictvím internetových prohlížečů každým rokem roste. S tím rostou i požadavky na větší anonymitu ve vyhledávání. Není přitom nutné gigantům jako Google zbytečně předávat soukromá data. Sáhněte například po DuckDuckGo, internetovém vyhledávači, který ctí anonymitu.<p><a href='https://www.idnes.cz/technet/internet/duckduckgo-google-bing-yahoo-you-com-baidu-mojeek-neeva-statcounter-duck-duck-goose.A210205_172414_sw_internet_dvr#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/technet/internet/duckduckgo-google-bing-yahoo-you-com-baidu-mojeek-neeva-statcounter-duck-duck-goose.A210205_172414_sw_internet_dvr#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main;default.jpg;"2021-02-21 12:10:27";"2021-02-21 12:10:27";"2021-02-21 12:10:27";13;0;NULL;"přitom nutné gigantům položených dotazů prostřednictvím prostřednictvím větší anonymitu prohlížečů každým dotazů sáhněte například položených internetovém vyhledávači roste ctí anonymitu počet";"[{"slug": "duvera-ve-vakciny-v-poslednich-mesicich-stoupa-v-cesku-i-ve-svete", "coefficient": 0.27917517927765856}, {"slug": "sto-objevu-virtualni-svet-internetu-pomahal-armade-pak-pohltil-zemi", "coefficient": 0.2763476431790218}, {"slug": "do-vesmiru-ma-letat-vice-zen-preje-si-esa-a-po-letech-chysta-nabor", "coefficient": 0.26192650388366356}, {"slug": "jsou-takovy-zazrak-jak-na-facebooku-tvrdi-zkusili-jsme-sluchatka-pamu", "coefficient": 0.26141980572413087}, {"slug": "jde-to-i-bezpecne-jaky-vliv-ma-otevreni-skol-na-sireni-covidu", "coefficient": 0.2602073133405046}, {"slug": "rakovina-spolecnosti-socialni-site-nas-radikalizuji-a-rozdeluji-rika-odbornik", "coefficient": 0.2602050140647284}, {"slug": "online-sluzby-umi-prevest-i-upravit-pdf-soubory-nove-i-adobe", "coefficient": 0.2576642829231589}, {"slug": "google-slibuje-ze-uzivatele-uz-nebude-sledovat-jednotlive", "coefficient": 0.2571971706566389}, {"slug": "uspech-americka-laborator-pristala-na-marsu-i-s-malym-vrtulnikem", "coefficient": 0.2571749690984222}, {"slug": "nadejna-data-stale-pribyva-dokladu-toho-ze-vakciny-brani-sireni-viru", "coefficient": 0.2570522034934996}]";NULL
676271;22;"Do vesmíru má létat více žen, přeje si ESA a po letech chystá nábor";do-vesmiru-ma-letat-vice-zen-preje-si-esa-a-po-letech-chysta-nabor;"Evropská kosmická agentura (ESA) začne na konci března přijímat nové žádosti o pozice astronautů a astronautek. Právě po ženách přitom bude poptávka, protože cílem ESA je navýšit počet evropských astronautek. Zájemci a zájemkyně o lety do vesmíru mohou mít nově i fyzický handicap.";"Evropská kosmická agentura (ESA) začne na konci března přijímat nové žádosti o pozice astronautů a astronautek. Právě po ženách přitom bude poptávka, protože cílem ESA je navýšit počet evropských astronautek. Zájemci a zájemkyně o lety do vesmíru mohou mít nově i fyzický handicap.<p><a href='https://www.idnes.cz/technet/vesmir/esa-astronaut-vesmir-iss-gateway.A210216_123648_tec_vesmir_vse#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/technet/vesmir/esa-astronaut-vesmir-iss-gateway.A210216_123648_tec_vesmir_vse#utm_source=rss&utm_medium=feed&utm_campaign=technet&utm_content=main;default.jpg;"2021-02-21 12:10:28";"2021-02-21 12:10:28";"2021-02-21 12:10:28";13;0;NULL;"evropská kosmická agentura o esa konci března přijímat esa začne pozice astronautů astronautek agentura ženách přitom vesmíru evropská vesmíru mohou kosmická astronautek";"[{"slug": "gagarin-ukazal-cestu-do-vesmiru-a-zahajil-tak-i-souboj-o-mesic", "coefficient": 0.3541773204650088}, {"slug": "na-mesici-zustaly-dva-podepsane-suvenyry-odpalila-je-posadka-apolla", "coefficient": 0.2941806564496516}, {"slug": "maly-krok-pro-cloveka-ale-velky-skok-pro-golf-skoncilo-to-pred-50-lety", "coefficient": 0.2941806564496516}, {"slug": "iss-se-pripravuje-na-nove-solarni-panely-stanice-vydrzi-do-roku-2028", "coefficient": 0.2922125890012627}, {"slug": "sto-objevu-rozhaneni-demonu-i-cesty-do-vesmiru-raketa-ma-dlouhou-historii", "coefficient": 0.2908543492937699}, {"slug": "temnou-hmotu-ve-vesmiru-mohou-lide-hledat-chytrym-telefonem", "coefficient": 0.2818206289864394}, {"slug": "katastrofa-v-dole-kukla-si-pred-100-lety-vyzadala-26-obeti", "coefficient": 0.2773029932080594}, {"slug": "breznovy-projekt-wikigap-chce-aby-se-na-wikipedii-objevilo-vic-zen", "coefficient": 0.272623262307753}, {"slug": "karel-i-se-pokusil-pred-100-lety-vratit-na-uhersky-trun", "coefficient": 0.2725136511065237}, {"slug": "zemrel-novinar-a-spisovatel-karel-pacner-byl-u-startu-prvnich-lidi-na-mesic", "coefficient": 0.2593062907553205}]";NULL
