id;author_id;title;slug;excerpt;body;original_link;image;created_at;updated_at;published_at;category_id;views;deleted_at;keywords;recommended;meta_id
675001;22;"Výuka na dálku posílí nerovnost mezi dětmi, varuje expert na vzdělávání";vyuka-na-dalku-posili-nerovnost-mezi-detmi-varuje-expert-na-vzdelavani;"Zavřené školy a děti posazené před monitory počítačů. Podle experta na vzdělávání Boba Kartouse má distanční výuka pro některé sociální vrstvy destruktivní dopady.";"Zavřené školy a děti posazené před monitory počítačů. Podle experta na vzdělávání Boba Kartouse má distanční výuka pro některé sociální vrstvy destruktivní dopady.<p><a href='https://www.idnes.cz/onadnes/vztahy/vzdelavani-skola-distancni-vyuka-bob-kartous.A210217_114309_ona-vztahy_jup#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/onadnes/vztahy/vzdelavani-skola-distancni-vyuka-bob-kartous.A210217_114309_ona-vztahy_jup#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:02";"2021-02-21 12:10:02";"2021-02-21 12:10:02";9;0;NULL;"zavřené školy zavřené školy posazené děti posazené posazené monitory děti monitory počítačů počítačů školy experta počítačů zavřené";"[{"slug": "nejdriv-videohovor-pak-vydejni-okenko-a-testy-lide-v-pandemii-randi-dal", "coefficient": 0.3212824108805003}, {"slug": "deti-potrebuji-na-emoce-prostor-pohadky-pomahaji-rika-spisovatelka", "coefficient": 0.2781359229061853}, {"slug": "co-je-dneska-za-den-aneb-jak-vypada-homeoffice-a-online-vyuka-v-praxi", "coefficient": 0.2774421247167957}, {"slug": "zanecha-pandemie-stopy-v-dusich-nasich-deti-odbornici-maji-jasno", "coefficient": 0.27708201412661576}, {"slug": "stridavka-v-lockdownu-mala-cast-rodicu-situaci-zneuziva-rika-advokatka", "coefficient": 0.27680722783373246}, {"slug": "zanecha-pandemie-stopy-v-dusich-nasich-deti-sledujte-diskuzi-odborniku", "coefficient": 0.2749920296298073}, {"slug": "katku-si-nechame-na-hrani-a-bude-doma-klid-pral-si-nahradni-manzel", "coefficient": 0.27466804081602}, {"slug": "na-hyperaktivni-deti-platila-rakoska-a-bylo-vyleceno-rek-nahradni-manzel", "coefficient": 0.2637033753006526}, {"slug": "trojnasobna-mama-vydelava-odhalenymi-snimky-ostatni-matky-ji-sikanuji", "coefficient": 0.2608284512656158}, {"slug": "zamilovala-jsem-se-ale-muz-neunesl-mou-minulost-rika-intimni-spolecnice", "coefficient": 0.2595844619448492}]";NULL
675071;22;"Dvaadvacet znaků, že s tímhle mužem vás místo pohádky čeká jen utrpení";dvaadvacet-znaku-ze-s-timhle-muzem-vas-misto-pohadky-ceka-jen-utrpeni;"Některé ženy jako by se zhlédly v popelce. Věří, že oříšky přinášejí prince. Jenže nakonec jsou z nich spíš veverky – louskají a louskají. Naučte se ředit pohádky a romantické story. Velké holky by měly umět vycítit muže postiženého vztahovou invaliditou na sto honů.";"Některé ženy jako by se zhlédly v popelce. Věří, že oříšky přinášejí prince. Jenže nakonec jsou z nich spíš veverky – louskají a louskají. Naučte se ředit pohádky a romantické story. Velké holky by měly umět vycítit muže postiženého vztahovou invaliditou na sto honů.<p><a href='https://www.idnes.cz/onadnes/vztahy/vztahy-laska-muzi-manipulator.A210215_153946_ona-vztahy_drdv#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/onadnes/vztahy/vztahy-laska-muzi-manipulator.A210215_153946_ona-vztahy_drdv#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:03";"2021-02-21 12:10:03";"2021-02-21 12:10:03";9;0;NULL;"oříšky přinášejí prince některé ženy jako jako nich spíš veverky umět vycítit ženy některé ženy věří jenže nakonec popelce ředit pohádky některé";"[{"slug": "zamilovala-jsem-se-ale-muz-neunesl-mou-minulost-rika-intimni-spolecnice", "coefficient": 0.29109427278627553}, {"slug": "zivot-s-alfa-samcem-neni-zadny-med-pripravte-se-na-divokou-jizdu", "coefficient": 0.28919390976070075}, {"slug": "pokud-si-myslite-ze-se-pro-vas-meditace-nehodi-pak-ji-potrebujete-nejvic", "coefficient": 0.28504507841742016}, {"slug": "deti-potrebuji-na-emoce-prostor-pohadky-pomahaji-rika-spisovatelka", "coefficient": 0.2842583752979933}, {"slug": "v-konfliktech-cesi-moc-spolupracovat-neumeji-rika-mediatorka-belkova", "coefficient": 0.27997786726190743}, {"slug": "gabriela-koukalova-se-pochlubila-ze-ceka-miminko-zmenila-si-i-prijmeni", "coefficient": 0.2790141669096183}, {"slug": "doba-lasce-a-pohode-prilis-nepreje-vyhnete-se-vztahovym-zabijakum", "coefficient": 0.27100265695225945}, {"slug": "az-co-rekne-michelle-silne-zeny-uspesnych-muzu-se-vzdaly-sve-kariery", "coefficient": 0.2704555261485807}, {"slug": "nejdriv-videohovor-pak-vydejni-okenko-a-testy-lide-v-pandemii-randi-dal", "coefficient": 0.2697836849036796}, {"slug": "tloustik-je-podclovek-a-snadny-terc-sikana-mi-ublizila-rika-zpevacka", "coefficient": 0.26885550306107425}]";NULL
675111;22;"Fenomén jménem střídavá péče. Pro dítě nemusí být výhrou, někdy je za trest";fenomen-jmenem-stridava-pece-pro-dite-nemusi-byt-vyhrou-nekdy-je-za-trest;"Sbalit kufr a přesunout se o dům dál. Na týden, čtrnáct dní nebo na měsíc... A pak zase zpět. Z dětí ve střídavé péči se stávají věční harcovníci. Mají sice mámu i tátu. Půl na půl. Jenže za jakou cenu?";"Sbalit kufr a přesunout se o dům dál. Na týden, čtrnáct dní nebo na měsíc... A pak zase zpět. Z dětí ve střídavé péči se stávají věční harcovníci. Mají sice mámu i tátu. Půl na půl. Jenže za jakou cenu?<p><a href='https://www.idnes.cz/onadnes/vztahy/deti-stridava-pece-rozvod-manzelstvi.A210210_152256_lidicky_nea#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/onadnes/vztahy/deti-stridava-pece-rozvod-manzelstvi.A210210_152256_lidicky_nea#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:04";"2021-02-21 12:10:04";"2021-02-21 12:10:04";9;0;NULL;"stávají věční harcovníci dní přesunout sbalit kufr sice kufr dům dál zpět týden čtrnáct dní o dům dál střídavé péči sbalit";"[{"slug": "stridavka-v-lockdownu-mala-cast-rodicu-situaci-zneuziva-rika-advokatka", "coefficient": 0.2861521674530889}, {"slug": "nevera-nemusi-vzdy-znamenat-konec-nebojte-se-dat-vztahu-jeste-sanci", "coefficient": 0.28576450034349843}, {"slug": "pribeh-marka-zena-chce-dite-ja-karieru", "coefficient": 0.2815884362664543}, {"slug": "tydenni-horoskop-pro-zeny-vsech-znameni-od-1-do-7-brezna", "coefficient": 0.28118627349155334}, {"slug": "tydenni-horoskop-pro-zeny-vsech-znameni-od-5-do-11-dubna", "coefficient": 0.28078942536046797}, {"slug": "fenomen-kukaccich-deti-odskodne-rodinam-nevynahradi-psychickou-ujmu", "coefficient": 0.2806965265308702}, {"slug": "tydenni-horoskop-pro-zeny-vsech-znameni-od-8-do-14-brezna", "coefficient": 0.28056121439800435}, {"slug": "tydenni-horoskop-pro-zeny-vsech-znameni-od-29-brezna-do-4-dubna", "coefficient": 0.2802510189139967}, {"slug": "tydenni-horoskop-pro-zeny-vsech-znameni-od-22-do-28-brezna", "coefficient": 0.2801898506227899}, {"slug": "tydenni-horoskop-pro-zeny-vsech-znameni-od-12-do-18-dubna", "coefficient": 0.28017697763093624}]";NULL
675141;22;"Nenápadné nebezpečí drbu. Pomlouvání není sexy a rozhodně se nevyplácí";nenapadne-nebezpeci-drbu-pomlouvani-neni-sexy-a-rozhodne-se-nevyplaci;"Pomlouvání neboli drbání je oblíbenou činností zejména mezi ženami. Mnohdy ani nepřemýšlíme nad tím, jak slovem za zády ubližujeme nejenom dotyčného, ale i sobě. Zkuste se v jistých chvílích držet známého pořekadla: Mluviti stříbro, mlčeti zlato.";"Pomlouvání neboli drbání je oblíbenou činností zejména mezi ženami. Mnohdy ani nepřemýšlíme nad tím, jak slovem za zády ubližujeme nejenom dotyčného, ale i sobě. Zkuste se v jistých chvílích držet známého pořekadla: Mluviti stříbro, mlčeti zlato.<p><a href='https://www.idnes.cz/onadnes/vztahy/pomluvy-drby.A210218_000958_jpz-laska-sex_skld#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/onadnes/vztahy/pomluvy-drby.A210218_000958_jpz-laska-sex_skld#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:05";"2021-02-21 12:10:05";"2021-02-21 12:10:05";9;0;NULL;"pomlouvání neboli drbání tím slovem zády ubližujeme nejenom oblíbenou oblíbenou činností zejména drbání mluviti stříbro neboli mlčeti zlato ženami ženami pomlouvání";"[{"slug": "prsata-raperka-vydelala-sexy-fotkami-na-onlyfans-za-6-hodin-rekordni-milion-dolaru", "coefficient": 0.2734656829072053}, {"slug": "ma-za-usima-grazl-jeden-hledali-jsme-puvod-nejslavnejsich-ceskych-uslovi", "coefficient": 0.26724383181101624}, {"slug": "zivot-s-alfa-samcem-neni-zadny-med-pripravte-se-na-divokou-jizdu", "coefficient": 0.26722114258458146}, {"slug": "kritika-nasi-prace-je-zcela-neopravnena-neeticke-to-neni-rika-headhunterka", "coefficient": 0.26563285197794223}, {"slug": "blizi-se-vzrusujici-casy-jak-se-povede-hvezdnym-znamenim-pod-vladou-berana", "coefficient": 0.26040625501915393}, {"slug": "pribeh-anny-syn-se-odmita-usmirit-s-otcem-nevim-si-rady", "coefficient": 0.2599794530698195}, {"slug": "objeti-i-placnuti-pres-zadek-gesta-o-ktera-si-partner-nerekne-ale-potesi-ho", "coefficient": 0.25840741864105476}, {"slug": "zapomnela-jsem-na-sebe-vypravi-martina", "coefficient": 0.2583915511009648}, {"slug": "sny-ve-vlastni-rezii-kvuli-karantene-do-fantazie-pronikaji-stara-traumata", "coefficient": 0.25829058800522425}, {"slug": "doma-ale-ne-volna-bojovnice-za-prava-arabskych-zen-zada-spravedlnost", "coefficient": 0.2576231598108429}]";NULL
675181;22;"„Bizardní koronácek“. Češtinu plní anglicismy a novotvary, nevíme jak na ni";bizardni-koronacek-cestinu-plni-anglicismy-a-novotvary-nevime-jak-na-ni;"Možná pláčete nad tichou smrtí přechodníků, nebo jste naopak zastánci zjednodušení pravopisu. Jedno je jisté – náš jazyk nechává málokoho chladným. Schválně – jakou máte náladu poté, co se s vámi někdo rozloučí slovy „Mějte hezký den“? Čeká vás s kolegou call, nebo telefonát? A jaká slova přibyla do slovníku s pandemií covidu?";"Možná pláčete nad tichou smrtí přechodníků, nebo jste naopak zastánci zjednodušení pravopisu. Jedno je jisté – náš jazyk nechává málokoho chladným. Schválně – jakou máte náladu poté, co se s vámi někdo rozloučí slovy „Mějte hezký den“? Čeká vás s kolegou call, nebo telefonát? A jaká slova přibyla do slovníku s pandemií covidu?<p><a href='https://www.idnes.cz/onadnes/vztahy/cestina-jazyk-digitalizace.A210211_122743_ona-vztahy_drdv#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/onadnes/vztahy/cestina-jazyk-digitalizace.A210211_122743_ona-vztahy_drdv#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:05";"2021-02-21 12:10:05";"2021-02-21 12:10:05";9;0;NULL;"tichou smrtí přechodníků jakou náladu tichou jaká slova přibyla chladným schválně pravopisu možná pláčete málokoho naopak náladu poté přechodníků čeká vás pláčete";"[{"slug": "o-knihach-cestovani-i-zivote-tipy-na-deset-knih-pro-jaro-2021", "coefficient": 0.27891399547754336}, {"slug": "az-co-rekne-michelle-silne-zeny-uspesnych-muzu-se-vzdaly-sve-kariery", "coefficient": 0.27594267728490673}, {"slug": "zpet-k-jehlicim-odvaha-zkusit-neco-noveho-covid-nas-zmenil-i-v-dobrem", "coefficient": 0.26908388064854794}, {"slug": "kviz-vyznate-se-v-reci-internetovych-zkratek", "coefficient": 0.26864057512431927}, {"slug": "rizika-sebelasky-jak-nam-muze-prehnana-duvera-v-sebe-same-komplikovat-zivot", "coefficient": 0.26818274513176055}, {"slug": "krasna-vylet-a-obraz-za-radost-na-fotce-posilame-tri-kosmeticke-balicky", "coefficient": 0.26623148676030695}, {"slug": "hral-na-me-kina-jak-je-hodnej-popsala-kriminalnika-vymenena-manzelka", "coefficient": 0.26612997213214556}, {"slug": "zblaznili-se-oni-nebo-my-diky-covidu-objevujeme-vlastni-absurditu", "coefficient": 0.26288186722087653}, {"slug": "cim-jste-se-potesila-posilate-sve-fotky-do-souteze-o-kosmetiku", "coefficient": 0.26149342714948764}, {"slug": "vyzva-zenam-udelejte-si-radost-za-fotografii-ziskate-kosmetiku", "coefficient": 0.26149342714948764}]";NULL
675221;22;"Jak bude v období Ryb? Panny zkusí zatočit s chaosem, Štírům dojde energie";jak-bude-v-obdobi-ryb-panny-zkusi-zatocit-s-chaosem-stirum-dojde-energie;"Ve čtvrtek 18. února vstupuje Slunce do znamení Ryb, kde zůstane až do konce zimy, tedy do 20. března. Podle astrologa Milana Gelnara slibují hvězdy lidem zrozeným v tomto znamení více pozornosti druhého pohlaví a pracovní úspěchy. Jaké jsou Ryby a jak se bude dařit dalším znamením?";"Ve čtvrtek 18. února vstupuje Slunce do znamení Ryb, kde zůstane až do konce zimy, tedy do 20. března. Podle astrologa Milana Gelnara slibují hvězdy lidem zrozeným v tomto znamení více pozornosti druhého pohlaví a pracovní úspěchy. Jaké jsou Ryby a jak se bude dařit dalším znamením?<p><a href='https://www.idnes.cz/onadnes/vztahy/ryby-horoskop-znameni-hvezdy-zverokruh.A210217_144504_ona-vztahy_job#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/onadnes/vztahy/ryby-horoskop-znameni-hvezdy-zverokruh.A210217_144504_ona-vztahy_job#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:06";"2021-02-21 12:10:06";"2021-02-21 12:10:06";9;0;NULL;"února vstupuje slunce znamení ryb pozornosti druhého pohlaví dalším února dařit dalším znamením úspěchy jaké znamení konce zimy druhého března pracovní úspěchy čtvrtek";"[{"slug": "blizi-se-vzrusujici-casy-jak-se-povede-hvezdnym-znamenim-pod-vladou-berana", "coefficient": 0.3303736664493033}, {"slug": "tydenni-horoskop-pro-zeny-vsech-znameni-od-29-brezna-do-4-dubna", "coefficient": 0.2980438234215325}, {"slug": "tydenni-horoskop-pro-zeny-vsech-znameni-od-22-do-28-brezna", "coefficient": 0.2980438234215325}, {"slug": "tydenni-horoskop-pro-zeny-vsech-znameni-od-5-do-11-dubna", "coefficient": 0.2980438234215325}, {"slug": "tydenni-horoskop-pro-zeny-vsech-znameni-od-12-do-18-dubna", "coefficient": 0.2980438234215325}, {"slug": "tydenni-horoskop-pro-zeny-vsech-znameni-od-1-do-7-brezna", "coefficient": 0.2973370167965037}, {"slug": "tydenni-horoskop-pro-zeny-vsech-znameni-od-8-do-14-brezna", "coefficient": 0.2973370167965036}, {"slug": "tydenni-horoskop-pro-zeny-vsech-znameni-od-15-do-21-brezna", "coefficient": 0.2973370167965036}, {"slug": "tydenni-horoskop-pro-zeny-vsech-znameni-od-22-do-28-unora", "coefficient": 0.2973370167965036}, {"slug": "diky-monice-jsem-se-mohl-stat-lepsim-clovekem-rika-horna-o-absolonove", "coefficient": 0.2637742341845235}]";NULL
675231;22;"Předmanželská smlouva i vlastní úspory. Na co ve vztahu nezapomenout";predmanzelska-smlouva-i-vlastni-uspory-na-co-ve-vztahu-nezapomenout;"Každé partnerství je kromě lásky postaveno i na dalších okolnostech, mnohé z nich jsou čistě materiální. Jenže mnozí z nás se často bojí o důležitých věcech mluvit.";"Každé partnerství je kromě lásky postaveno i na dalších okolnostech, mnohé z nich jsou čistě materiální. Jenže mnozí z nás se často bojí o důležitých věcech mluvit.<p><a href='https://www.idnes.cz/onadnes/vztahy/predmanzelska-smlouva-rozvod-uspory.A210217_004209_jpz-laska-sex_skld#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/onadnes/vztahy/predmanzelska-smlouva-rozvod-uspory.A210217_004209_jpz-laska-sex_skld#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:06";"2021-02-21 12:10:06";"2021-02-21 12:10:06";9;0;NULL;"kromě lásky postaveno každé partnerství lásky postaveno partnerství důležitých věcech mluvit okolnostech materiální každé partnerství mnohé dalších okolnostech okolnostech čistě materiální každé";"[{"slug": "nevera-nemusi-vzdy-znamenat-konec-nebojte-se-dat-vztahu-jeste-sanci", "coefficient": 0.3130115161064395}, {"slug": "laska-na-voditku-manzelka-pro-vsechno-doprejte-vztahu-i-sobe-prostor", "coefficient": 0.2977687537364529}, {"slug": "objeti-i-placnuti-pres-zadek-gesta-o-ktera-si-partner-nerekne-ale-potesi-ho", "coefficient": 0.2852438811508281}, {"slug": "sny-ve-vlastni-rezii-kvuli-karantene-do-fantazie-pronikaji-stara-traumata", "coefficient": 0.2830992159895261}, {"slug": "co-je-dneska-za-den-aneb-jak-vypada-homeoffice-a-online-vyuka-v-praxi", "coefficient": 0.2813546598240985}, {"slug": "dodnes-neznam-duvod-naseho-rozchodu-rika-dolezelova-o-vztahu-s-trundou", "coefficient": 0.28109892779635615}, {"slug": "doba-lasce-a-pohode-prilis-nepreje-vyhnete-se-vztahovym-zabijakum", "coefficient": 0.27761416032970887}, {"slug": "zblaznili-se-oni-nebo-my-diky-covidu-objevujeme-vlastni-absurditu", "coefficient": 0.27659102468946944}, {"slug": "mit-tak-znovu-dvacet-a-pritom-dnesni-rozum-co-bychom-delaly-jinak-a-proc", "coefficient": 0.26622197383974483}, {"slug": "v-konfliktech-cesi-moc-spolupracovat-neumeji-rika-mediatorka-belkova", "coefficient": 0.2646985972776517}]";NULL
675271;22;"Rozbila jsem jí držku a jemu rozsekala telefon, líčila náhradní manželka";rozbila-jsem-ji-drzku-a-jemu-rozsekala-telefon-licila-nahradni-manzelka;"Zatímco Barča (32) je především milující maminka a hospodyně, což ji naplňuje, Kristýna (29) se nechce své rodině obětovat. „Nejsem ten typ, co vydrží doma s dětmi sedět na zadku. Jsem ráda, když jdu do práce, která mě nabije, abych pak mohla čas trávit s holkou,“ přiznala několikrát ve Výměně manželek.";"Zatímco Barča (32) je především milující maminka a hospodyně, což ji naplňuje, Kristýna (29) se nechce své rodině obětovat. „Nejsem ten typ, co vydrží doma s dětmi sedět na zadku. Jsem ráda, když jdu do práce, která mě nabije, abych pak mohla čas trávit s holkou,“ přiznala několikrát ve Výměně manželek.<p><a href='https://www.idnes.cz/onadnes/vztahy/vymena-manzelek-tv-nova.A210216_142708_ona-vztahy_jup#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/onadnes/vztahy/vymena-manzelek-tv-nova.A210216_142708_ona-vztahy_jup#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:06";"2021-02-21 12:10:06";"2021-02-21 12:10:06";9;0;NULL;"především milující maminka především milující maminka což mohla čas trávit barča hospodyně zatímco barča výměně především rodině obětovat kristýna vydrží doma barča";"[{"slug": "svym-detem-nadavam-ze-jsou-debilove-blbci-priznala-nahradni-manzelka", "coefficient": 0.32320479216537806}, {"slug": "katku-si-nechame-na-hrani-a-bude-doma-klid-pral-si-nahradni-manzel", "coefficient": 0.3073201706892131}, {"slug": "na-hyperaktivni-deti-platila-rakoska-a-bylo-vyleceno-rek-nahradni-manzel", "coefficient": 0.3020163930829682}, {"slug": "hubu-nezavre-a-mele-dokola-porad-to-same-stezoval-si-nahradni-manzel", "coefficient": 0.3008646592913559}, {"slug": "trojnasobna-mama-vydelava-odhalenymi-snimky-ostatni-matky-ji-sikanuji", "coefficient": 0.29957494064936646}, {"slug": "odpustis-mu-i-kdyz-jsi-kvuli-nemu-malem-umrela-ptala-se-nahradni-manzelka", "coefficient": 0.2983972098902644}, {"slug": "hral-na-me-kina-jak-je-hodnej-popsala-kriminalnika-vymenena-manzelka", "coefficient": 0.29366650112707715}, {"slug": "par-miluje-drsny-sex-zjistila-vymenena-manzelka-neboj-uklidnil-ji-mirek", "coefficient": 0.28504125171096434}, {"slug": "laska-na-voditku-manzelka-pro-vsechno-doprejte-vztahu-i-sobe-prostor", "coefficient": 0.28240669668235163}, {"slug": "po-sexu-s-vrstevniky-netouzim-protivi-se-mi-kvuli-vraskam-rika-fondova", "coefficient": 0.26532381694060286}]";NULL
675791;22;"Jaromír Jágr se pochlubil přítelkyní Dominikou. Slavili jeho narozeniny";jaromir-jagr-se-pochlubil-pritelkyni-dominikou-slavili-jeho-narozeniny;"Hokejista Jaromír Jágr se na sociálních sítích poprvé veřejně pochlubil přítelkyní Dominikou Branišovou (27). Sdílel příspěvek z oslavy svých 49. narozenin a poděkoval všem za přání.";"Hokejista Jaromír Jágr se na sociálních sítích poprvé veřejně pochlubil přítelkyní Dominikou Branišovou (27). Sdílel příspěvek z oslavy svých 49. narozenin a poděkoval všem za přání.<p><a href='https://www.idnes.cz/revue/vztahy-a-sex/jaromir-jagr-hokejista-modelka-dominika-branisova-fotka-vztah.A210217_090508_sex_zar#utm_source=rss&utm_medium=feed&utm_campaign=cas&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/revue/vztahy-a-sex/jaromir-jagr-hokejista-modelka-dominika-branisova-fotka-vztah.A210217_090508_sex_zar#utm_source=rss&utm_medium=feed&utm_campaign=cas&utm_content=main;default.jpg;"2021-02-21 12:10:17";"2021-02-21 12:10:17";"2021-02-21 12:10:17";9;0;NULL;"hokejista jaromír jágr všem sociálních sdílel příspěvek jaromír jágr jágr poděkoval všem oslavy svých jaromír oslavy branišovou narozenin hokejista";"[{"slug": "nove-zahonky-ve-meste-i-motyli-strom-ctenare-nadchl-amatersky-zahradnik", "coefficient": 0.28930163998780895}, {"slug": "mara-je-v-realu-stejny-jako-v-serialu-slunecna-rika-partnerka-lambory", "coefficient": 0.2756130541811583}, {"slug": "za-mladistvy-vzhled-vdecim-oleji-z-sipku-rika-dvaapadesatileta-matka", "coefficient": 0.2733723503216553}, {"slug": "fotbalistka-vonkova-s-manzelkou-claudii-oznamily-ze-cekaji-miminko", "coefficient": 0.272099714683796}, {"slug": "hvezda-slunecne-marek-lambora-chodi-s-misskou-andreou-bezdekovou", "coefficient": 0.27151249435127867}, {"slug": "tenistka-barbora-strycova-ocekava-narozeni-prvniho-potomka", "coefficient": 0.2690136963877555}, {"slug": "emma-smetana-je-dvojnasobnou-maminkou-dite-dostalo-neobvykle-jmeno", "coefficient": 0.26861116022254333}, {"slug": "delali-ze-me-lehkou-devu-a-zlatokopku-rika-zena-hokejoveho-trenera-ruzicky", "coefficient": 0.2678562445297088}, {"slug": "podvedla-me-pri-prvni-prilezitosti-rika-po-rozchodu-s-tresnickovou-podnikatel", "coefficient": 0.26612011168991573}, {"slug": "diky-monice-jsem-se-mohl-stat-lepsim-clovekem-rika-horna-o-absolonove", "coefficient": 0.26212404365799086}]";NULL
675811;22;"Nejde žít s nejlepším kamarádem, říká o rozvodu Hanychová";nejde-zit-s-nejlepsim-kamaradem-rika-o-rozvodu-hanychova;"Dcera Veroniky Žilkové Agáta (35) se po rozvodu s Jakubem Prachařem (37) pořád jmenuje Prachařová, ale na sociálních sítích i v práci používá dívčí jméno Hanychová. V primácké show 7 pádů Honzy Dědka prozradila, proč jí máma zakázala další svatbu, a zavzpomínala na začátky vztahu s exmanželem.";"Dcera Veroniky Žilkové Agáta (35) se po rozvodu s Jakubem Prachařem (37) pořád jmenuje Prachařová, ale na sociálních sítích i v práci používá dívčí jméno Hanychová. V primácké show 7 pádů Honzy Dědka prozradila, proč jí máma zakázala další svatbu, a zavzpomínala na začátky vztahu s exmanželem.<p><a href='https://www.idnes.cz/revue/vztahy-a-sex/agata-pracharova-hanychova-jakub-prachar-rozvod-honza-dedek.A210215_103414_sex_zar#utm_source=rss&utm_medium=feed&utm_campaign=cas&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/revue/vztahy-a-sex/agata-pracharova-hanychova-jakub-prachar-rozvod-honza-dedek.A210215_103414_sex_zar#utm_source=rss&utm_medium=feed&utm_campaign=cas&utm_content=main;default.jpg;"2021-02-21 12:10:17";"2021-02-21 12:10:17";"2021-02-21 12:10:17";9;0;NULL;"pořád jmenuje prachařová dcera veroniky žilkové agáta jmenuje jí máma zakázala rozvodu prachařem jakubem prachařem rozvodu sociálních sítích agáta začátky vztahu dcera";"[{"slug": "gabriela-koukalova-se-pochlubila-ze-ceka-miminko-zmenila-si-i-prijmeni", "coefficient": 0.28860652744645127}, {"slug": "spisovatelka-vizionarka-o-pandemii-z-ciny-napsala-iva-prochazkova-pred-15-lety", "coefficient": 0.28754214334885536}, {"slug": "mara-je-v-realu-stejny-jako-v-serialu-slunecna-rika-partnerka-lambory", "coefficient": 0.2867307454798716}, {"slug": "delali-ze-me-lehkou-devu-a-zlatokopku-rika-zena-hokejoveho-trenera-ruzicky", "coefficient": 0.28219392062727444}, {"slug": "dodnes-neznam-duvod-naseho-rozchodu-rika-dolezelova-o-vztahu-s-trundou", "coefficient": 0.27941947389024796}, {"slug": "z-nominace-na-ceskeho-lva-mi-vytryskly-slzy-rika-krasna-herecka", "coefficient": 0.2793338033372075}, {"slug": "z-nominace-na-ceskeho-lva-mi-vytryskly-slzy-rika-elizaveta-maximova", "coefficient": 0.27903807419625715}, {"slug": "fotbalistka-vonkova-s-manzelkou-claudii-oznamily-ze-cekaji-miminko", "coefficient": 0.27882953020909235}, {"slug": "za-mladistvy-vzhled-vdecim-oleji-z-sipku-rika-dvaapadesatileta-matka", "coefficient": 0.2784319531743702}, {"slug": "podvedla-me-pri-prvni-prilezitosti-rika-po-rozchodu-s-tresnickovou-podnikatel", "coefficient": 0.276233122760958}]";NULL
