,post_id,slug,ratings_values
16539,5644,slavia-v-lize-mistryn-dil-treti-zensky-fotbal-si-zaslouzi-respekt-zni-z-klubu,0.39414238826365044
11788,5075,online-cesko-faerske-ostrovy-4-0-hattrick-chytila-ctvrty-gol-dava-cerny,0.3371611857370552
12677,4715,trener-jalonen-po-svycarsku-vykon-spatny-nebyl-ale-rozhodly-nase-chyby,0.318740174885202
9206,4973,stredocesky-kraj-pocita-dalsich-10-let-s-dieselovymi-vlaky-cast-lokalek-skonci,0.3019431157082956
10448,5173,spanelsko-v-generalce-na-ms-porazilo-jordansko-ghana-zdolala-svycarsko,0.3016718998639421
15779,4779,sting-se-svymi-nejvetsimi-hity-zamiri-pristi-rok-do-pardubic,0.2862561625481716
16219,4781,recenze-druha-trava-micha-bluegrass-s-psychedelickym-rockem,0.23731293283488883
10439,697181,online-teplice-jdou-v-poharu-dal-hraje-liberec-a-pozdeji-i-slavia,0.23669551315820617
10963,4586,fotbalisty-jablonce-ceka-v-podzimnim-louceni-boleslav-liberec-zase-teplice,0.23356113502164091
16438,5218,trpky-konec-velke-kariery-misto-ms-odridi-cakir-pet-minut-zapasu-s-ceskem,0.23239264171800053
