,slug,coefficient
0,trener-jalonen-po-svycarsku-vykon-spatny-nebyl-ale-rozhodly-nase-chyby,0.17358860373497007
1,slavia-v-lize-mistryn-dil-treti-zensky-fotbal-si-zaslouzi-respekt-zni-z-klubu,0.17010238766670224
2,online-cesko-faerske-ostrovy-4-0-hattrick-chytila-ctvrty-gol-dava-cerny,0.15618626773357389
3,trpky-konec-velke-kariery-misto-ms-odridi-cakir-pet-minut-zapasu-s-ceskem,0.14601422846317288
4,fotbalisty-jablonce-ceka-v-podzimnim-louceni-boleslav-liberec-zase-teplice,0.14326164126396176
5,online-teplice-jdou-v-poharu-dal-hraje-liberec-a-pozdeji-i-slavia,0.13501924276351926
6,spanelsko-v-generalce-na-ms-porazilo-jordansko-ghana-zdolala-svycarsko,0.12420716136693953
7,sting-se-svymi-nejvetsimi-hity-zamiri-pristi-rok-do-pardubic,0.08261121809482573
8,stredocesky-kraj-pocita-dalsich-10-let-s-dieselovymi-vlaky-cast-lokalek-skonci,0.07167667150497435
9,recenze-druha-trava-micha-bluegrass-s-psychedelickym-rockem,0.0641140043735504
