id;author_id;title;slug;excerpt;body;original_link;image;created_at;updated_at;published_at;category_id;views;deleted_at;keywords;recommended;meta_id
675031;22;"Jak hubnou VIP krásky? Finková cvičí jógu, Janků zmenšuje porce";jak-hubnou-vip-krasky-finkova-cvici-jogu-janku-zmensuje-porce;"Přibrali jste po Vánocích? Nezoufejte! Vyzpovídali jsme několik krásek ze showbyznysu, které nám prozradily své tajné tipy a rady, jak shodit přebytečná kila. Komu pomáhá běh a kdo naopak drží diety?";"Přibrali jste po Vánocích? Nezoufejte! Vyzpovídali jsme několik krásek ze showbyznysu, které nám prozradily své tajné tipy a rady, jak shodit přebytečná kila. Komu pomáhá běh a kdo naopak drží diety?<p><a href='https://www.idnes.cz/jenproholky/moda-krasa/hubniti-dieta-bendova-janku-vignerova-puhajkova-finkova-pogodova.A210213_201527_jph-moda-krasa_abr#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/jenproholky/moda-krasa/hubniti-dieta-bendova-janku-vignerova-puhajkova-finkova-pogodova.A210213_201527_jph-moda-krasa_abr#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:02";"2021-02-21 12:10:02";"2021-02-21 12:10:02";7;0;NULL;"shodit přebytečná kila drží showbyznysu komu pomáhá běh showbyznysu prozradily vyzpovídali naopak drží diety krásek nezoufejte několik krásek tajné vánocích přibrali přibrali";"[{"slug": "obrazem-slavne-krasky-ktere-se-v-pozehnanem-stavu-odhalily", "coefficient": 0.28910162180666515}, {"slug": "jak-vybrat-podprsenku-jak-nosit-prouzky-a-dalsi-modni-triky", "coefficient": 0.26926895939610246}, {"slug": "jak-schovat-par-kilogramu-navic-odvedte-pozornost-doplnky-i-barvou", "coefficient": 0.2668345993049379}, {"slug": "krk-a-dekolt-bez-vrasek-tipy-jak-jim-predejit-i-jak-je-zamaskovat", "coefficient": 0.26509233292169737}, {"slug": "blond-vlasy-vyzaduji-zvlastni-peci-jak-na-ni", "coefficient": 0.2640018644386787}, {"slug": "zime-vladnou-kostky-jak-je-nosit", "coefficient": 0.26327326901714065}, {"slug": "vylet-do-rise-vuni-jak-vybrat-ten-pravy-parfem-a-kam-ho-nanaset", "coefficient": 0.26321359763707675}, {"slug": "mini-pod-zadek-vystrih-jak-macocha-kdyz-svetove-celebrity-neumi-starnout", "coefficient": 0.2624400892347823}, {"slug": "na-veku-nezalezi-akne-se-muze-objevit-kdykoliv-budte-pripravena", "coefficient": 0.2605325884085243}, {"slug": "ne-veku-nezalezi-akne-se-muze-objevit-kdykoliv-budte-pripravena", "coefficient": 0.2605325884085243}]";NULL
675041;22;"Krk a dekolt bez vrásek. Tipy, jak jim předejít i jak je zamaskovat";krk-a-dekolt-bez-vrasek-tipy-jak-jim-predejit-i-jak-je-zamaskovat;"Říká se, že věk se pozná podle šíje. Co dělat, aby ta vaše byla krásně hladká a hebká jako samet?";"Říká se, že věk se pozná podle šíje. Co dělat, aby ta vaše byla krásně hladká a hebká jako samet?<p><a href='https://www.idnes.cz/jenprozeny/krasa-moda/krk-dekolt-krasa-pece.A210213_193428_jpz-krasa-moda_abr#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/jenprozeny/krasa-moda/krk-dekolt-krasa-pece.A210213_193428_jpz-krasa-moda_abr#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:03";"2021-02-21 12:10:03";"2021-02-21 12:10:03";7;0;NULL;"krásně hladká jako pozná říká se věk pozná podle šíje věk věk pozná říká šíje dělat";"[{"slug": "mini-pod-zadek-vystrih-jak-macocha-kdyz-svetove-celebrity-neumi-starnout", "coefficient": 0.3230049705923947}, {"slug": "jak-vybrat-podprsenku-jak-nosit-prouzky-a-dalsi-modni-triky", "coefficient": 0.2876686118848608}, {"slug": "manual-pro-krasne-vlasy-i-v-pohodli-jim-muzete-dat-dokonalou-peci", "coefficient": 0.28645908177842266}, {"slug": "vyberte-si-ten-spravny-look-tipy-na-ctyri-super-outfity", "coefficient": 0.2821953879221004}, {"slug": "uzivejte-si-sukni-po-cely-rok-jak-vybrat-spravnou-delku-a-material", "coefficient": 0.2801596698916435}, {"slug": "neortodoxni-ceske-kabelky-sklizeji-uspech-i-v-dubaji-skladaji-se-jako-origami", "coefficient": 0.2800410677948241}, {"slug": "domaci-maska-i-ekologicke-baleni-kosmeticke-tipy-na-duben", "coefficient": 0.2792000663969236}, {"slug": "zime-vladnou-kostky-jak-je-nosit", "coefficient": 0.2790597840945396}, {"slug": "blond-vlasy-vyzaduji-zvlastni-peci-jak-na-ni", "coefficient": 0.276627182801526}, {"slug": "test-balzamu-na-rty-rady-a-tipy-diky-kterym-vyberete-ten-pravy", "coefficient": 0.27513266003191494}]";NULL
675101;22;"S konopím vyrábí kosmetiku i vaginální čípky. Jsme první na světě, říká";s-konopim-vyrabi-kosmetiku-i-vaginalni-cipky-jsme-prvni-na-svete-rika;"Formulátorka kosmetiky Lenka Průšová je chodící reklamou na svou práci. Mladá a úspěšná. Na tom prvním nemá zásluhu a za to druhé může paradoxně její lenost. Je spoluzakladatelkou firmy CB21 Pharma a díky své práci procestovala svět.";"Formulátorka kosmetiky Lenka Průšová je chodící reklamou na svou práci. Mladá a úspěšná. Na tom prvním nemá zásluhu a za to druhé může paradoxně její lenost. Je spoluzakladatelkou firmy CB21 Pharma a díky své práci procestovala svět.<p><a href='https://www.idnes.cz/onadnes/moda/formulatorka-kosmetika-lenka-prusova-canneff.A210210_150818_modni-trendy_lisv#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/onadnes/moda/formulatorka-kosmetika-lenka-prusova-canneff.A210210_150818_modni-trendy_lisv#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:04";"2021-02-21 12:10:04";"2021-02-21 12:10:04";7;0;NULL;"prvním nemá zásluhu práci chodící práci procestovala svět tom prvním nemá průšová svou práci paradoxně lenka chodící reklamou kosmetiky mladá formulátorka";"[{"slug": "domaci-maska-i-ekologicke-baleni-kosmeticke-tipy-na-duben", "coefficient": 0.29228810850691256}, {"slug": "kostymni-navrharka-herci-casto-nemaji-nadhled-definitivni-rozhodnuti-je-na-mne", "coefficient": 0.28491765581921813}, {"slug": "obrazem-par-nudistu-cestuje-po-svete-a-chlubi-se-nahymi-tely", "coefficient": 0.2735039451275502}, {"slug": "carujte-s-licidly-triky-pro-plnejsi-rty-nebo-vetsi-oci", "coefficient": 0.27165381387143395}, {"slug": "chvala-lezernosti-sportovni-moda-muze-byt-pohodlna-a-zaroven-stylova", "coefficient": 0.27013175329206907}, {"slug": "prirodni-kosmetika-neni-vzdy-ekologicka-rika-vyvojarka-kosmetiky", "coefficient": 0.2673938494006779}, {"slug": "budte-stylova-i-mazana-zaroven-privitejte-jaro-dukladnou-ocistou-satniku", "coefficient": 0.2640991635461369}, {"slug": "uzijte-si-rande-i-doma-ve-svudnych-satech-a-na-jehlach", "coefficient": 0.26382060671838814}, {"slug": "osvedcene-recepty-na-krasne-vlasy-zkuste-skorici-nebo-lnene-seminko", "coefficient": 0.2614377661172609}, {"slug": "trendy-v-peci-o-vlasy-hitem-jsou-vlny-prirozenost-a-lezernost", "coefficient": 0.26304252679877044}]";NULL
675131;22;"Karl Lagerfeld: prostořeký génius, který obrátil Chanel vzhůru nohama";karl-lagerfeld-prostoreky-genius-ktery-obratil-chanel-vzhuru-nohama;"Černé bezprsté rukavice, sluneční brýle, upnutý límec a věrná kočka Choupette, to jsou atributy návrháře Karla Lagerfelda. Uznávaný celým světem, ale sám nebyl žádný svatoušek. Se svými výroky si nikdy nebral servítky a urazil kdejakou celebritu. Dnes, 19. února, uplynuly dva roky od smrti prostořekého umělce.";"Černé bezprsté rukavice, sluneční brýle, upnutý límec a věrná kočka Choupette, to jsou atributy návrháře Karla Lagerfelda. Uznávaný celým světem, ale sám nebyl žádný svatoušek. Se svými výroky si nikdy nebral servítky a urazil kdejakou celebritu. Dnes, 19. února, uplynuly dva roky od smrti prostořekého umělce.<p><a href='https://www.idnes.cz/onadnes/moda/karl-lagerfeld-moda-navrhar.A210216_110924_modni-trendy_syk#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/onadnes/moda/karl-lagerfeld-moda-navrhar.A210216_110924_modni-trendy_syk#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:04";"2021-02-21 12:10:04";"2021-02-21 12:10:04";7;0;NULL;"černé bezprsté rukavice bezprsté upnutý věrná kočka choupette rukavice sluneční brýle uznávaný celým světem brýle upnutý sluneční nikdy nebral servítky rukavice urazil kdejakou celebritu černé";"[{"slug": "modni-gigant-hubert-de-givenchy-lasku-k-mode-objevil-v-tovarne-na-gobeliny", "coefficient": 0.28865910462590955}, {"slug": "uzivejte-si-sukni-po-cely-rok-jak-vybrat-spravnou-delku-a-material", "coefficient": 0.2678468586217733}, {"slug": "moda-v-barve-smaragdu-luxus-ktery-si-muze-dovolit-kazda-zena", "coefficient": 0.2653571987934561}, {"slug": "obrazem-par-nudistu-cestuje-po-svete-a-chlubi-se-nahymi-tely", "coefficient": 0.2575995110321139}, {"slug": "obrazem-prohlednete-si-modni-vystrelky-ctyricatnice-paris-hiltonove", "coefficient": 0.25718319501077735}, {"slug": "vyberte-si-kosili-je-univerzalnim-a-skvelym-zakladem-satniku", "coefficient": 0.2570855808413844}, {"slug": "obrazem-coco-austin-ma-narozeniny-proslavila-se-obrim-poprsim", "coefficient": 0.25657633061761953}, {"slug": "blond-vlasy-vyzaduji-zvlastni-peci-jak-na-ni", "coefficient": 0.25642458770936966}, {"slug": "boty-jara-2021-vladnou-hranate-spicky-flatformy-snerovani-a-pantofle", "coefficient": 0.2558260202463878}, {"slug": "krasnejsi-diky-prirode-limetky-osvezi-nohy-grepy-vypnou-plet", "coefficient": 0.25502696929949614}]";NULL
675161;22;"Užijte si rande i doma. Ve svůdných šatech a na jehlách";uzijte-si-rande-i-doma-ve-svudnych-satech-a-na-jehlach;"Chcete si se svou láskou doma udělat romantický večer? Výborný nápad! Užijete si ho ještě víc, když si dáte záležet i na rafinovaném oblečení.";"Chcete si se svou láskou doma udělat romantický večer? Výborný nápad! Užijete si ho ještě víc, když si dáte záležet i na rafinovaném oblečení.<p><a href='https://www.idnes.cz/jenprozeny/krasa-moda/moda-rande-vecerni.A210216_193838_jpz-krasa-moda_abr#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/jenprozeny/krasa-moda/moda-rande-vecerni.A210216_193838_jpz-krasa-moda_abr#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:05";"2021-02-21 12:10:05";"2021-02-21 12:10:05";7;0;NULL;"výborný nápad si udělat dáte záležet rafinovaném doma rafinovaném oblečení oblečení láskou chcete dáte svou užijete romantický večer";"[{"slug": "budte-jako-selma-moda-se-zvirecim-vzorem-neztraci-na-popularite", "coefficient": 0.30203185255737636}, {"slug": "jak-vybrat-podprsenku-jak-nosit-prouzky-a-dalsi-modni-triky", "coefficient": 0.3013135292984501}, {"slug": "od-pyzama-po-teplaky-pohodlne-domaci-outfity-pro-vsedni-dny", "coefficient": 0.2949615543509304}, {"slug": "sexy-v-detske-velikosti-cinske-zeny-podlehly-novemu-modnimu-trendu", "coefficient": 0.29371112677458455}, {"slug": "obrazem-prohlednete-si-modni-vystrelky-ctyricatnice-paris-hiltonove", "coefficient": 0.2870273441097688}, {"slug": "nebojte-se-na-jare-barev-outfit-osvezi-a-dodaji-vam-energii", "coefficient": 0.28026100885271954}, {"slug": "co-koupit-ve-slevach-umely-kozisek-zahreje-i-na-samotnem-konci-zimy", "coefficient": 0.27790919675205356}, {"slug": "vylet-do-rise-vuni-jak-vybrat-ten-pravy-parfem-a-kam-ho-nanaset", "coefficient": 0.27742363394303227}, {"slug": "ceska-moda-je-libiva-i-slusiva-nestoji-majlant-a-ma-punc-udrzitelnosti", "coefficient": 0.27632631971482363}, {"slug": "koronavirove-mode-vladne-pohodli-ceske-znacky-nabizeji-teplakovy-luxus", "coefficient": 0.27543485438731036}]";NULL
675171;22;"Mějte pod čepicí! Čtyři zásady zimní péče o vlasy";mejte-pod-cepici-ctyri-zasady-zimni-pece-o-vlasy;"Pletený kulich, vlněná kšiltovka, přiléhavá kapuce nebo baret? Určitě vám sluší a v zimě se bez nich obejdete jen těžko. Ovšem vlasy z nich moc nadšené nejsou. Jak o ně řádně pečovat?";"Pletený kulich, vlněná kšiltovka, přiléhavá kapuce nebo baret? Určitě vám sluší a v zimě se bez nich obejdete jen těžko. Ovšem vlasy z nich moc nadšené nejsou. Jak o ně řádně pečovat?<p><a href='https://www.idnes.cz/jenproholky/moda-krasa/vlasy-pece-zima.A210213_142315_jph-moda-krasa_abr#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/jenproholky/moda-krasa/vlasy-pece-zima.A210213_142315_jph-moda-krasa_abr#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:05";"2021-02-21 12:10:05";"2021-02-21 12:10:05";7;0;NULL;"ně řádně pečovat baret přiléhavá nich moc nadšené kšiltovka přiléhavá kapuce kšiltovka nich obejdete vlněná vlněná pletený kulich kulich vlněná kšiltovka pletený";"[{"slug": "osvedcene-recepty-na-krasne-vlasy-zkuste-skorici-nebo-lnene-seminko", "coefficient": 0.31198717040607704}, {"slug": "blond-vlasy-vyzaduji-zvlastni-peci-jak-na-ni", "coefficient": 0.29521424417060405}, {"slug": "manual-pro-krasne-vlasy-i-v-pohodli-jim-muzete-dat-dokonalou-peci", "coefficient": 0.2931641008763718}, {"slug": "seminkova-pece-jak-vasi-pleti-i-telu-prospeji-chia-ci-quinoa", "coefficient": 0.2901028216850109}, {"slug": "pozor-jaro-je-pro-vlasy-necekanym-nepritelem-venujte-jim-specialni-peci", "coefficient": 0.28740076785842655}, {"slug": "trendy-v-peci-o-vlasy-hitem-jsou-vlny-prirozenost-a-lezernost", "coefficient": 0.2854764618367328}, {"slug": "mejte-ruce-jako-v-bavlnce-pecujte-o-ne-pres-noc-doprejte-jim-peeling", "coefficient": 0.2843242522910463}, {"slug": "vyberte-si-ten-spravny-look-tipy-na-ctyri-super-outfity", "coefficient": 0.2801581752651019}, {"slug": "sul-nad-zlato-oceni-ji-vase-pokozka-i-vlasy", "coefficient": 0.27888147733592766}, {"slug": "vylet-do-rise-vuni-jak-vybrat-ten-pravy-parfem-a-kam-ho-nanaset", "coefficient": 0.2703550846460105}]";NULL
675211;22;"Módní revoluce v době covidové: na výsluní se hřeje ležérní teplákovina";modni-revoluce-v-dobe-covidove-na-vysluni-se-hreje-lezerni-teplakovina;"Předloni zesnulý návrhář Karl Lagerfeld tvrdil, že „tepláky jsou symbolem porážky“. Kdyby se dožil dnešní „doby covidové“, možná by změnil názor. Hedvábí, satén a další luxusní materiály ustoupily do pozadí a v oblíbenosti vede ležérní teplákovina. Podívejte se, jak ji vkusně, ale přitom originálně nosit.";"Předloni zesnulý návrhář Karl Lagerfeld tvrdil, že „tepláky jsou symbolem porážky“. Kdyby se dožil dnešní „doby covidové“, možná by změnil názor. Hedvábí, satén a další luxusní materiály ustoupily do pozadí a v oblíbenosti vede ležérní teplákovina. Podívejte se, jak ji vkusně, ale přitom originálně nosit.<p><a href='https://www.idnes.cz/onadnes/moda/teplaky-moda-covid-teplakovina.A210210_100835_modni-trendy_syk/foto#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/onadnes/moda/teplaky-moda-covid-teplakovina.A210210_100835_modni-trendy_syk/foto#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:06";"2021-02-21 12:10:06";"2021-02-21 12:10:06";7;0;NULL;"luxusní materiály ustoupily názor zesnulý přitom originálně nosit hedvábí porážky symbolem porážky luxusní materiály ustoupily tepláky změnil názor tvrdil „tepláky předloni";"[{"slug": "obrazem-prohlednete-si-modni-vystrelky-ctyricatnice-paris-hiltonove", "coefficient": 0.2859733164235446}, {"slug": "modni-zloduch-alexander-mcqueen-nesnasel-celebrity-a-modelky-kropil-krvi", "coefficient": 0.28543175130121323}, {"slug": "dziny-kosile-saty-denim-je-modni-sazkou-na-jistotu", "coefficient": 0.2839703729918374}, {"slug": "modni-gigant-hubert-de-givenchy-lasku-k-mode-objevil-v-tovarne-na-gobeliny", "coefficient": 0.2836703860690587}, {"slug": "cesky-lev-udrzel-modni-latku-to-nejlepsi-z-letosniho-i-minulych-rocniku", "coefficient": 0.28135655922696623}, {"slug": "jak-vybrat-podprsenku-jak-nosit-prouzky-a-dalsi-modni-triky", "coefficient": 0.28065321148818395}, {"slug": "modni-stalice-zvana-rolak-nahradi-salu-i-elegantni-halenku", "coefficient": 0.27794076634179826}, {"slug": "hvezdy-odhodily-teplaky-ohlednuti-za-oslnivymi-toaletami-ze-zlatych-globu", "coefficient": 0.2778874672912999}, {"slug": "neortodoxni-ceske-kabelky-sklizeji-uspech-i-v-dubaji-skladaji-se-jako-origami", "coefficient": 0.2562982238703132}, {"slug": "halucinogenni-vzor-je-na-spici-trendu-objevte-kouzlo-tie-dye-cili-batiky", "coefficient": 0.2562759380832806}]";NULL
675251;22;"Mějte ruce jako v bavlnce. Pečujte o ně přes noc, dopřejte jim peeling";mejte-ruce-jako-v-bavlnce-pecujte-o-ne-pres-noc-doprejte-jim-peeling;"Jsou pro nás absolutně nezbytné a mnohé z nás doslova živí, proto je nutné dopřát jim pravidelnou rozmazlující péči.";"Jsou pro nás absolutně nezbytné a mnohé z nás doslova živí, proto je nutné dopřát jim pravidelnou rozmazlující péči.<p><a href='https://www.idnes.cz/jenprozeny/krasa-moda/pece-o-ruce.A210213_135814_jpz-krasa-moda_abr#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/jenprozeny/krasa-moda/pece-o-ruce.A210213_135814_jpz-krasa-moda_abr#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:06";"2021-02-21 12:10:06";"2021-02-21 12:10:06";7;0;NULL;"nás absolutně nezbytné absolutně nezbytné nezbytné nás doslova živí z doslova péči mnohé živí proto živí absolutně";"[{"slug": "triky-pro-svudne-rty-vsadte-na-peeling-a-lesk", "coefficient": 0.3091071165743277}, {"slug": "i-v-chladnych-dnech-potrebuje-telo-peci-jak-se-starat-o-ruce-a-nohy", "coefficient": 0.29943616787650557}, {"slug": "neschovavejte-plne-tvary-ukazte-je-jako-plus-size-modelka-kelly-brookova", "coefficient": 0.2956244114744981}, {"slug": "pozor-jaro-je-pro-vlasy-necekanym-nepritelem-venujte-jim-specialni-peci", "coefficient": 0.28813811531273364}, {"slug": "mejte-pod-cepici-ctyri-zasady-zimni-pece-o-vlasy", "coefficient": 0.2843242522910463}, {"slug": "osvedcene-recepty-na-krasne-vlasy-zkuste-skorici-nebo-lnene-seminko", "coefficient": 0.279499494194241}, {"slug": "spasa-pro-pocuchane-nervy-i-bolesti-svalu-doprejte-si-relaxacni-lazen", "coefficient": 0.27545923082805646}, {"slug": "vyzkousejte-sladke-medove-masky-plet-bajecne-vycisti-i-vyzivi", "coefficient": 0.2736220673742906}, {"slug": "sukne-a-saty-nejsou-jen-na-jaro-a-leto-vyuzijete-je-i-ted", "coefficient": 0.27021297559882534}, {"slug": "neortodoxni-ceske-kabelky-sklizeji-uspech-i-v-dubaji-skladaji-se-jako-origami", "coefficient": 0.2707838561628415}]";NULL
675281;22;"OBRAZEM: Prohlédněte si módní výstřelky čtyřicátnice Paris Hiltonové";obrazem-prohlednete-si-modni-vystrelky-ctyricatnice-paris-hiltonove;"Rebelka a dědička hotelového impéria Paris Hiltonová oslavuje čtyřicítku. Slavná blond kráska ráda provokuje nejen svými činy, ale i outfity. Moc často nehledí na trendy a nosí zkrátka to, co jí zrovna padne do oka. Sama si také oblečení navrhuje. Podívejte se do galerie na její extra kousky.";"Rebelka a dědička hotelového impéria Paris Hiltonová oslavuje čtyřicítku. Slavná blond kráska ráda provokuje nejen svými činy, ale i outfity. Moc často nehledí na trendy a nosí zkrátka to, co jí zrovna padne do oka. Sama si také oblečení navrhuje. Podívejte se do galerie na její extra kousky.<p><a href='https://www.idnes.cz/onadnes/moda/paris-hiltonova-dedicka-hoteloveho-imperia-oslava-narozeniny.A210215_111045_modni-trendy_bib/foto#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/onadnes/moda/paris-hiltonova-dedicka-hoteloveho-imperia-oslava-narozeniny.A210215_111045_modni-trendy_bib/foto#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:07";"2021-02-21 12:10:07";"2021-02-21 12:10:07";7;0;NULL;"moc často nehledí hotelového impéria paris hiltonová oslavuje impéria jí zrovna padne hotelového nosí zkrátka dědička oblečení navrhuje čtyřicítku extra kousky rebelka";"[{"slug": "obrazem-inspirujte-se-sexy-modely-cerstve-ctyricatnice-ambrosio", "coefficient": 0.33998385840034157}, {"slug": "jak-vybrat-podprsenku-jak-nosit-prouzky-a-dalsi-modni-triky", "coefficient": 0.30541487158266156}, {"slug": "obrazem-coco-austin-ma-narozeniny-proslavila-se-obrim-poprsim", "coefficient": 0.2960647202274556}, {"slug": "uzijte-si-rande-i-doma-ve-svudnych-satech-a-na-jehlach", "coefficient": 0.2870273441097688}, {"slug": "modni-revoluce-v-dobe-covidove-na-vysluni-se-hreje-lezerni-teplakovina", "coefficient": 0.2859733164235446}, {"slug": "obrazem-slavne-krasky-ktere-se-v-pozehnanem-stavu-odhalily", "coefficient": 0.28583315437509127}, {"slug": "cesky-lev-udrzel-modni-latku-to-nejlepsi-z-letosniho-i-minulych-rocniku", "coefficient": 0.2856943733273047}, {"slug": "dziny-kosile-saty-denim-je-modni-sazkou-na-jistotu", "coefficient": 0.28492927349606106}, {"slug": "obrazem-inspirujte-se-sexy-oblecky-kterymi-prekvapite-na-velikonoce", "coefficient": 0.28382056732365385}, {"slug": "poridte-si-trendy-svetrik-nosi-se-vsechny-materialy-i-strihy", "coefficient": 0.2815472348039366}]";NULL
675291;22;"V zimě si dejte pozor na klasické hydratační krémy, varuje vizážista Bauer";v-zime-si-dejte-pozor-na-klasicke-hydratacni-kremy-varuje-vizazista-bauer;"Arktické teploty střídá jaro. Jak se v extrémních mrazech i vlhké zimě starat o pleť? „Určitě by to chtělo přípravu před samotným líčením,“ radí vizážista Pavel Bauer při líčení herečky Ivany Jirešové, která říká, že mráz nejvíc cítí na rtech. „Používám balzámy, oleje a ty si dávám i na ruce i na tělo.“";"Arktické teploty střídá jaro. Jak se v extrémních mrazech i vlhké zimě starat o pleť? „Určitě by to chtělo přípravu před samotným líčením,“ radí vizážista Pavel Bauer při líčení herečky Ivany Jirešové, která říká, že mráz nejvíc cítí na rtech. „Používám balzámy, oleje a ty si dávám i na ruce i na tělo.“<p><a href='https://www.idnes.cz/onadnes/moda/ivana-jiresova-pavel-bauer-plet-pece-zima-jaro.A210217_094053_modni-trendy_jup#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main'><b>Odkaz na původní článek</b></a></p>";https://www.idnes.cz/onadnes/moda/ivana-jiresova-pavel-bauer-plet-pece-zima-jaro.A210217_094053_modni-trendy_jup#utm_source=rss&utm_medium=feed&utm_campaign=ona&utm_content=main;default.jpg;"2021-02-21 12:10:07";"2021-02-21 12:10:07";"2021-02-21 12:10:07";7;0;NULL;"vlhké zimě starat teploty střídá říká mráz nejvíc cítí jaro v extrémních střídá extrémních mrazech teploty chtělo přípravu jaro samotným líčením arktické";"[{"slug": "sukne-a-saty-nejsou-jen-na-jaro-a-leto-vyuzijete-je-i-ted", "coefficient": 0.2995562936300194}, {"slug": "vyberte-si-ten-spravny-look-tipy-na-ctyri-super-outfity", "coefficient": 0.2960077882824447}, {"slug": "kotnikova-obuv-je-trendy-ale-take-zradna-nezasadte-svemu-vzhledu-ranu", "coefficient": 0.29353209696654703}, {"slug": "zime-vladnou-kostky-jak-je-nosit", "coefficient": 0.28855360050209394}, {"slug": "jaro-ve-znameni-kvetin-rozkvetla-moda-je-letos-originalni", "coefficient": 0.2847309949196829}, {"slug": "kosmeticke-vychytavky-na-brezen-ocenite-bahenni-zabal-i-eroticky-set", "coefficient": 0.2833909180582986}, {"slug": "i-v-chladnych-dnech-potrebuje-telo-peci-jak-se-starat-o-ruce-a-nohy", "coefficient": 0.278248315933896}, {"slug": "dejte-svym-vlasum-maximalni-peci-priroda-vam-pomuze", "coefficient": 0.2782385009497329}, {"slug": "kdyz-vagina-krici-o-pomoc-pozor-na-nevhodne-spodni-pradlo", "coefficient": 0.2776081522081804}, {"slug": "jako-policistka-si-nevydelala-na-vysnene-auto-tak-zena-zmenila-profesi", "coefficient": 0.2651411012452517}]";NULL
